#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
663560,26040983,2,UNCLEHOWIE_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
663560,26040984,3,UNCLEHOWIE_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040985,4,UNCLEHOWIE_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040986,5,UNCLEHOWIE_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040987,6,UNCLEHOWIE_6,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210212,-
663560,26040988,7,UNCLEHOWIE_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
663560,26040989,8,UNCLEHOWIE_8,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
663560,26040990,9,UNCLEHOWIE_9,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201220,-
663560,26040991,10,UNCLEHOWIE_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040992,11,UNCLEHOWIE_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040993,12,UNCLEHOWIE_12,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
663560,26040994,13,UNCLEHOWIE_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040995,14,UNCLEHOWIE_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040996,15,UNCLEHOWIE_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040997,16,UNCLEHOWIE_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040998,17,UNCLEHOWIE_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26040999,18,UNCLEHOWIE_18,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
663560,26041000,19,UNCLEHOWIE_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041001,20,UNCLEHOWIE_20,-,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201220,-
663560,26041002,21,UNCLEHOWIE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041003,22,UNCLEHOWIE_22,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
663560,26041004,23,UNCLEHOWIE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041005,24,UNCLEHOWIE_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041006,25,UNCLEHOWIE_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
663560,26041007,26,UNCLEHOWIE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041008,27,UNCLEHOWIE_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041009,28,UNCLEHOWIE_28,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
663560,26041010,29,UNCLEHOWIE_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
663560,26041011,30,UNCLEHOWIE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041012,31,UNCLEHOWIE_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041013,32,UNCLEHOWIE_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041014,33,UNCLEHOWIE_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041015,34,UNCLEHOWIE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041016,35,UNCLEHOWIE_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041017,36,UNCLEHOWIE_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041018,37,UNCLEHOWIE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041019,38,UNCLEHOWIE_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041020,39,UNCLEHOWIE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041021,40,UNCLEHOWIE_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041022,41,UNCLEHOWIE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041023,42,UNCLEHOWIE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041024,43,UNCLEHOWIE_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041025,44,UNCLEHOWIE_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041026,45,UNCLEHOWIE_45,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201220,-
663560,26041027,46,UNCLEHOWIE_46,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201220,-
663560,26041028,47,UNCLEHOWIE_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041029,48,UNCLEHOWIE_48,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
663560,26041030,49,UNCLEHOWIE_49,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
663560,26041031,50,UNCLEHOWIE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041032,51,UNCLEHOWIE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041033,52,UNCLEHOWIE_52,-,-,-,-,helicase type III restriction subunit,protein-coding,-,-,-,helicase type III restriction subunit,20201220,-
663560,26041034,53,UNCLEHOWIE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041035,54,UNCLEHOWIE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041036,55,UNCLEHOWIE_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041037,56,UNCLEHOWIE_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041038,57,UNCLEHOWIE_57,-,-,-,-,replicative helicase,protein-coding,-,-,-,replicative helicase,20201220,-
663560,26041039,58,UNCLEHOWIE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041040,59,UNCLEHOWIE_59,-,-,-,-,polymerase I,protein-coding,-,-,-,polymerase I,20210123,-
663560,26041041,60,UNCLEHOWIE_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041042,61,UNCLEHOWIE_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041043,62,UNCLEHOWIE_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041044,63,UNCLEHOWIE_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041045,64,UNCLEHOWIE_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041046,65,UNCLEHOWIE_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041047,66,UNCLEHOWIE_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041048,67,UNCLEHOWIE_67,-,-,-,-,RNaseE,protein-coding,-,-,-,RNaseE,20210417,-
663560,26041049,68,UNCLEHOWIE_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041050,69,UNCLEHOWIE_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041051,70,UNCLEHOWIE_70,-,-,-,-,PLA2-like protein,protein-coding,-,-,-,PLA2-like protein,20210212,-
663560,26041052,71,UNCLEHOWIE_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041053,72,UNCLEHOWIE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041054,73,UNCLEHOWIE_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041055,74,UNCLEHOWIE_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041056,75,UNCLEHOWIE_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041057,76,UNCLEHOWIE_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041058,77,UNCLEHOWIE_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041059,78,UNCLEHOWIE_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041060,79,UNCLEHOWIE_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041061,80,UNCLEHOWIE_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041062,81,UNCLEHOWIE_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041063,82,UNCLEHOWIE_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041064,83,UNCLEHOWIE_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041065,84,UNCLEHOWIE_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041066,85,UNCLEHOWIE_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041067,86,UNCLEHOWIE_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041068,87,UNCLEHOWIE_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041069,88,UNCLEHOWIE_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041070,89,UNCLEHOWIE_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041071,90,UNCLEHOWIE_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041072,91,UNCLEHOWIE_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041073,92,UNCLEHOWIE_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041074,93,UNCLEHOWIE_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041075,94,UNCLEHOWIE_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041076,95,UNCLEHOWIE_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041077,96,UNCLEHOWIE_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041078,97,UNCLEHOWIE_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041079,98,UNCLEHOWIE_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
663560,26041080,1,UNCLEHOWIE_1,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20210123,-
663560,26045480,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage UncleHowie).,other,-,-,-,-,20200513,-
