#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500820,24724186,ACQ70_gp02,ACQ70_gp02,PHL132N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500820,24724187,ACQ70_gp03,ACQ70_gp03,PHL132N00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500820,24724188,ACQ70_gp04,ACQ70_gp04,PHL132N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724189,ACQ70_gp05,ACQ70_gp05,PHL132N00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500820,24724190,ACQ70_gp06,ACQ70_gp06,PHL132N00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500820,24724191,ACQ70_gp07,ACQ70_gp07,PHL132N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724192,ACQ70_gp08,ACQ70_gp08,PHL132N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724193,ACQ70_gp09,ACQ70_gp09,PHL132N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724194,ACQ70_gp10,ACQ70_gp10,PHL132N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724195,ACQ70_gp11,ACQ70_gp11,PHL132N00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500820,24724196,ACQ70_gp12,ACQ70_gp12,PHL132N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724197,ACQ70_gp13,ACQ70_gp13,PHL132N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724198,ACQ70_gp14,ACQ70_gp14,PHL132N00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500820,24724199,ACQ70_gp15,ACQ70_gp15,PHL132N00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500820,24724200,ACQ70_gp16,ACQ70_gp16,PHL132N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500820,24724201,ACQ70_gp17,ACQ70_gp17,PHL132N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724202,ACQ70_gp18,ACQ70_gp18,PHL132N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724203,ACQ70_gp19,ACQ70_gp19,PHL132N00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500820,24724204,ACQ70_gp20,ACQ70_gp20,PHL132N00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500820,24724205,ACQ70_gp21,ACQ70_gp21,PHL132N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500820,24724206,ACQ70_gp22,ACQ70_gp22,PHL132N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724207,ACQ70_gp23,ACQ70_gp23,PHL132N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500820,24724208,ACQ70_gp24,ACQ70_gp24,PHL132N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724209,ACQ70_gp25,ACQ70_gp25,PHL132N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724210,ACQ70_gp26,ACQ70_gp26,PHL132N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724211,ACQ70_gp27,ACQ70_gp27,PHL132N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724212,ACQ70_gp28,ACQ70_gp28,PHL132N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724213,ACQ70_gp29,ACQ70_gp29,PHL132N00_29,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500820,24724214,ACQ70_gp30,ACQ70_gp30,PHL132N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500820,24724215,ACQ70_gp31,ACQ70_gp31,PHL132N00_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724216,ACQ70_gp32,ACQ70_gp32,PHL132N00_32,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500820,24724217,ACQ70_gp33,ACQ70_gp33,PHL132N00_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724218,ACQ70_gp34,ACQ70_gp34,PHL132N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500820,24724219,ACQ70_gp35,ACQ70_gp35,PHL132N00_35,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
