#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
383872,40512546,nad5,FKU50_mgp041,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20200801,-
383872,40512547,orf131,FKU50_mgp023,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512548,orf255,FKU50_mgp059,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512549,cox1,FKU50_mgp001,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20200801,-
383872,40512550,orf390,FKU50_mgp021,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512551,orf282,FKU50_mgp003,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512552,orf314,FKU50_mgp004,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512553,orf361,FKU50_mgp005,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512554,orf359,FKU50_mgp006,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512555,orf146,FKU50_mgp007,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512556,orf283,FKU50_mgp008,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512557,orf225,FKU50_mgp009,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512558,orf100,FKU50_mgp010,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512559,orf282,FKU50_mgp011,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512560,orf453,FKU50_mgp012,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512561,orf306,FKU50_mgp013,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512562,orf152,FKU50_mgp014,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512563,orf344,FKU50_mgp015,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512564,trnR(acg),FKU50_mgt001,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512565,orf768,FKU50_mgp002,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200801,-
383872,40512566,orf494,FKU50_mgp074,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512567,orf149,FKU50_mgp073,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512568,orf99,FKU50_mgp072,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512569,rps3,FKU50_mgp071,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200801,-
383872,40512570,atp8,FKU50_mgp070,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20200801,-
383872,40512571,atp6,FKU50_mgp069,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20200801,-
383872,40512572,nad2,FKU50_mgp067,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200801,-
383872,40512573,orf107,FKU50_mgp068,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512574,orf144,FKU50_mgp065,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512575,orf144,FKU50_mgp064,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512576,orf144,FKU50_mgp063,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512577,orf124,FKU50_mgp066,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512578,nad3,FKU50_mgp062,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20200801,-
383872,40512579,orf174,FKU50_mgp061,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512580,trnR(tcg),FKU50_mgt002,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
383872,40512581,COX3,FKU50_mgp060,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20200801,-
383872,40512582,orf130,FKU50_mgp058,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512583,orf126,FKU50_mgp057,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512584,orf147,FKU50_mgp056,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512585,orf151,FKU50_mgp055,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512586,orf100,FKU50_mgp054,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
383872,40512587,cob,FKU50_mgp053,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20200801,-
383872,40512588,orf331,FKU50_mgp051,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512589,orf440,FKU50_mgp052,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512590,orf242,FKU50_mgp050,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512591,orf305,FKU50_mgp049,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
383872,40512592,orf314,FKU50_mgp048,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
