#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1351735,40079773,FDH83_gp02,FDH83_gp02,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1351735,40079774,FDH83_gp03,FDH83_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079775,FDH83_gp04,FDH83_gp04,-,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
1351735,40079776,FDH83_gp05,FDH83_gp05,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1351735,40079777,FDH83_gp06,FDH83_gp06,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1351735,40079778,FDH83_gp07,FDH83_gp07,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1351735,40079779,FDH83_gp08,FDH83_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079780,FDH83_gp09,FDH83_gp09,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210313,-
1351735,40079781,FDH83_gp10,FDH83_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079782,FDH83_gp11,FDH83_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079783,FDH83_gp12,FDH83_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079784,FDH83_gp13,FDH83_gp13,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1351735,40079785,FDH83_gp14,FDH83_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079786,FDH83_gp15,FDH83_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079787,FDH83_gp16,FDH83_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079788,FDH83_gp17,FDH83_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079789,FDH83_gp18,FDH83_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079790,FDH83_gp19,FDH83_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079791,FDH83_gp20,FDH83_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079792,FDH83_gp21,FDH83_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079793,FDH83_gp22,FDH83_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079794,FDH83_gp23,FDH83_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079795,FDH83_gp24,FDH83_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079796,FDH83_gp25,FDH83_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079797,FDH83_gp26,FDH83_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079798,FDH83_gp27,FDH83_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079799,FDH83_gp28,FDH83_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079800,FDH83_gp29,FDH83_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079801,FDH83_gp30,FDH83_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079802,FDH83_gp31,FDH83_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079803,FDH83_gp32,FDH83_gp32,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1351735,40079804,FDH83_gp33,FDH83_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079805,FDH83_gp34,FDH83_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079806,FDH83_gp35,FDH83_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079807,FDH83_gp36,FDH83_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079808,FDH83_gp37,FDH83_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079809,FDH83_gp38,FDH83_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079810,FDH83_gp39,FDH83_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079811,FDH83_gp40,FDH83_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1351735,40079812,FDH83_gp41,FDH83_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
