#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
913183,18559143,ORF30,CJ97_gp30,-,-,-,-,DNA polymerase-like protein,protein-coding,-,-,-,DNA polymerase-like protein,20201220,-
913183,18559144,ORF2,CJ97_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559145,ORF11,CJ97_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559146,ORF12,CJ97_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559147,ORF13,CJ97_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559148,ORF14,CJ97_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559149,ORF15,CJ97_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559150,ORF16,CJ97_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559151,ORF17,CJ97_gp17,-,-,-,-,DNA ligase-like protein,protein-coding,-,-,-,DNA ligase-like protein,20201220,-
913183,18559152,ORF18,CJ97_gp18,-,-,-,-,RNA polymerase-like protein,protein-coding,-,-,-,RNA polymerase-like protein,20201220,-
913183,18559153,ORF19,CJ97_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559154,ORF20,CJ97_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559155,ORF3,CJ97_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559156,ORF21,CJ97_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559157,ORF22,CJ97_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559158,ORF23,CJ97_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
913183,18559159,ORF24,CJ97_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
