#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696397,55626291,HWD01_gp02,HWD01_gp02,flopper_2,-,-,-,putative antirestriction protein,protein-coding,-,-,-,putative antirestriction protein,20201222,-
2696397,55626292,HWD01_gp03,HWD01_gp03,flopper_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626293,HWD01_gp04,HWD01_gp04,flopper_4,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210313,-
2696397,55626294,HWD01_gp05,HWD01_gp05,flopper_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626295,HWD01_gp06,HWD01_gp06,flopper_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626296,HWD01_gp07,HWD01_gp07,flopper_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626297,HWD01_gp08,HWD01_gp08,flopper_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626298,HWD01_gp09,HWD01_gp09,flopper_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626299,HWD01_gp10,HWD01_gp10,flopper_10,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210313,-
2696397,55626300,HWD01_gp11,HWD01_gp11,flopper_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696397,55626301,HWD01_gp12,HWD01_gp12,flopper_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626302,HWD01_gp13,HWD01_gp13,flopper_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626303,HWD01_gp14,HWD01_gp14,flopper_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626304,HWD01_gp15,HWD01_gp15,flopper_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626305,HWD01_gp16,HWD01_gp16,flopper_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626306,HWD01_gp17,HWD01_gp17,flopper_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626307,HWD01_gp18,HWD01_gp18,flopper_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626308,HWD01_gp19,HWD01_gp19,flopper_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626309,HWD01_gp20,HWD01_gp20,flopper_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626310,HWD01_gp21,HWD01_gp21,flopper_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626311,HWD01_gp22,HWD01_gp22,flopper_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626312,HWD01_gp23,HWD01_gp23,flopper_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696397,55626313,HWD01_gp24,HWD01_gp24,flopper_24,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210313,-
