#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027267,55808370,HYP49_gp02,HYP49_gp02,LP0209_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027267,55808371,HYP49_gp03,HYP49_gp03,LP0209_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
2027267,55808372,HYP49_gp04,HYP49_gp04,LP0209_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027267,55808373,HYP49_gp05,HYP49_gp05,LP0209_05,-,-,-,protease,protein-coding,-,-,-,protease,20210424,-
2027267,55808374,HYP49_gp06,HYP49_gp06,LP0209_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2027267,55808375,HYP49_gp07,HYP49_gp07,LP0209_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808376,HYP49_gp08,HYP49_gp08,LP0209_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808377,HYP49_gp09,HYP49_gp09,LP0209_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808378,HYP49_gp10,HYP49_gp10,LP0209_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808379,HYP49_gp11,HYP49_gp11,LP0209_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027267,55808380,HYP49_gp12,HYP49_gp12,LP0209_13,-,-,-,major tail protein extension,protein-coding,-,-,-,major tail protein extension,20210424,-
2027267,55808381,HYP49_gp14,HYP49_gp14,LP0209_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808382,HYP49_gp13,HYP49_gp13,LP0209_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2027267,55808383,HYP49_gp15,HYP49_gp15,LP0209_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808384,HYP49_gp16,HYP49_gp16,LP0209_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027267,55808385,HYP49_gp17,HYP49_gp17,LP0209_17,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2027267,55808386,HYP49_gp18,HYP49_gp18,LP0209_18,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210424,-
2027267,55808387,HYP49_gp19,HYP49_gp19,LP0209_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808388,HYP49_gp20,HYP49_gp20,LP0209_20,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210424,-
2027267,55808389,HYP49_gp21,HYP49_gp21,LP0209_21,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2027267,55808390,HYP49_gp22,HYP49_gp22,LP0209_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
2027267,55808391,HYP49_gp23,HYP49_gp23,LP0209_23,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20210515,-
2027267,55808392,HYP49_gp24,HYP49_gp24,LP0209_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808393,HYP49_gp25,HYP49_gp25,LP0209_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808394,HYP49_gp26,HYP49_gp26,LP0209_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808395,HYP49_gp27,HYP49_gp27,LP0209_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808396,HYP49_gp28,HYP49_gp28,LP0209_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808397,HYP49_gp29,HYP49_gp29,LP0209_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808398,HYP49_gp30,HYP49_gp30,LP0209_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027267,55808399,HYP49_gp31,HYP49_gp31,LP0209_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
