#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
889956,15010271,CPMG_00002,CPMG_00002,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
889956,15010272,CPMG_00003,CPMG_00003,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20201220,-
889956,15010273,CPMG_00004,CPMG_00004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010274,CPMG_00005,CPMG_00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010275,CPMG_00006,CPMG_00006,-,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20201220,-
889956,15010276,CPMG_00007,CPMG_00007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010277,CPMG_00008,CPMG_00008,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201220,-
889956,15010278,CPMG_00009,CPMG_00009,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
889956,15010279,CPMG_00010,CPMG_00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010280,CPMG_00011,CPMG_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010281,CPMG_00012,CPMG_00012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010282,CPMG_00013,CPMG_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010283,CPMG_00014,CPMG_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010284,CPMG_00015,CPMG_00015,-,-,-,-,tail sheath stabilizer,protein-coding,-,-,-,tail sheath stabilizer,20201220,-
889956,15010285,CPMG_00016,CPMG_00016,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201220,-
889956,15010286,CPMG_00017,CPMG_00017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010287,CPMG_00018,CPMG_00018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010288,CPMG_00019,CPMG_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010289,CPMG_00020,CPMG_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010290,CPMG_00021,CPMG_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010291,CPMG_00022,CPMG_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010292,CPMG_00023,CPMG_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010293,CPMG_00024,CPMG_00024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010294,CPMG_00025,CPMG_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010295,CPMG_00026,CPMG_00026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010296,CPMG_00027,CPMG_00027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010297,CPMG_00028,CPMG_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010298,CPMG_00029,CPMG_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010299,CPMG_00030,CPMG_00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010300,CPMG_00031,CPMG_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010301,CPMG_00032,CPMG_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010302,CPMG_00033,CPMG_00033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010303,CPMG_00034,CPMG_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010304,CPMG_00035,CPMG_00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010305,CPMG_00036,CPMG_00036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010306,CPMG_00037,CPMG_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010307,CPMG_00038,CPMG_00038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010308,CPMG_00039,CPMG_00039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010309,CPMG_00040,CPMG_00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010310,CPMG_00041,CPMG_00041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010311,CPMG_00042,CPMG_00042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010312,CPMG_00043,CPMG_00043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010313,CPMG_00044,CPMG_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010314,CPMG_00045,CPMG_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010315,CPMG_00046,CPMG_00046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010316,CPMG_00047,CPMG_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
889956,15010317,CPMG_00048,CPMG_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
