#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
207830,935830,lef-9,McnAVgp124,-,-,-,-,LEF-9,protein-coding,-,-,-,LEF-9,20180815,-
207830,935831,rr1,McnAVgp169,-,-,-,-,ribonucleotide reductase large subunit RR1,protein-coding,-,-,-,ribonucleotide reductase large subunit RR1,20180815,-
207830,935832,odv-e18,McnAVgp166,-,-,-,-,ODV-E18,protein-coding,-,-,-,ODV-E18,20180815,-
207830,935833,odv-ec27,McnAVgp165,-,-,-,-,ODV-EC27,protein-coding,-,-,-,ODV-EC27,20180815,-
207830,935834,ie1,McnAVgp162,-,-,-,-,IE1,protein-coding,-,-,-,IE1,20180815,-
207830,935835,p74,McnAVgp160,-,-,-,-,p74,protein-coding,-,-,-,p74,20201010,-
207830,935836,p10,McnAVgp159,-,-,-,-,p10,protein-coding,-,-,-,p10,20180815,-
207830,935837,p26b,McnAVgp158,-,-,-,-,p26,protein-coding,-,-,-,p26,20201010,-
207830,935838,lef-6,McnAVgp156,-,-,-,-,LEF-6,protein-coding,-,-,-,LEF-6,20180815,-
207830,935839,dbp,McnAVgp155,-,-,-,-,DNA-binding protein DBP,protein-coding,-,-,-,DNA-binding protein DBP,20210417,-
207830,935840,ubi,McnAVgp152,-,-,-,-,v-ubiquitin,protein-coding,-,-,-,v-ubiquitin,20210417,-
207830,935841,lef-11,McnAVgp149,-,-,-,-,LEF-11,protein-coding,-,-,-,LEF-11,20180815,-
207830,935842,p47,McnAVgp145,-,-,-,-,p47,protein-coding,-,-,-,p47,20180815,-
207830,935843,odv-e66b,McnAVgp144,-,-,-,-,ODV-E66,protein-coding,-,-,-,ODV-E66,20180815,-
207830,935844,lef-8,McnAVgp141,-,-,-,-,LEF-8,protein-coding,-,-,-,LEF-8,20180815,-
207830,935845,iap-3,McnAVgp139,-,-,-,-,inhibitor of apoptosis-3 IAP-3,protein-coding,-,-,-,inhibitor of apoptosis-3 IAP-3,20201010,-
207830,935846,lef-10,McnAVgp134,-,-,-,-,LEF-10,protein-coding,-,-,-,LEF-10,20180815,-
207830,935847,vp1054,McnAVgp133,-,-,-,-,vp1054,protein-coding,-,-,-,vp1054,20180815,-
207830,935848,bro-h,McnAVgp127,-,-,-,-,BRO-h,protein-coding,-,-,-,BRO-h,20180815,-
207830,935849,p94,McnAVgp126,-,-,-,-,p94,protein-coding,-,-,-,p94,20180815,-
207830,935850,fp25K,McnAVgp125,-,-,-,-,FP25K,protein-coding,-,-,-,FP25K,20201003,-
207830,935851,polh,McnAVgp001,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180815,-
207830,935852,pk1,McnAVgp003,-,-,-,-,protein kinase 1,protein-coding,-,-,-,protein kinase 1,20201003,-
207830,935853,odvp-6e,McnAVgp006,-,-,-,-,ODVP-6E,protein-coding,-,-,-,ODVP-6E,20180815,-
207830,935854,me53,McnAVgp007,-,-,-,-,me53,protein-coding,-,-,-,me53,20180815,-
207830,935855,gp16,McnAVgp011,-,-,-,-,gp16,protein-coding,-,-,-,gp16,20180815,-
207830,935856,p24,McnAVgp012,-,-,-,-,p24 capsid,protein-coding,-,-,-,p24 capsid,20210417,-
207830,935857,lef-2,McnAVgp014,-,-,-,-,LEF-2,protein-coding,-,-,-,LEF-2,20180815,-
207830,935858,lef-7,McnAVgp016,-,-,-,-,LEF-7,protein-coding,-,-,-,LEF-7,20180815,-
207830,935859,bro-a,McnAVgp021,-,-,-,-,BRO-a,protein-coding,-,-,-,BRO-a,20180815,-
207830,935860,chi,McnAVgp022,-,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20210212,-
207830,935861,bro-b,McnAVgp024,-,-,-,-,BRO-b,protein-coding,-,-,-,BRO-b,20180815,-
207830,935862,bro-c,McnAVgp031,-,-,-,-,BRO-c,protein-coding,-,-,-,BRO-c,20180815,-
207830,935863,he65,McnAVgp032,-,-,-,-,HE65,protein-coding,-,-,-,HE65,20180815,-
207830,935864,cath,McnAVgp033,-,-,-,-,cathepsin,protein-coding,-,-,-,cathepsin,20210417,-
207830,935865,lef-1,McnAVgp035,-,-,-,-,LEF-1,protein-coding,-,-,-,LEF-1,20210612,-
207830,935866,gp37,McnAVgp037,-,-,-,-,gp37,protein-coding,-,-,-,gp37,20180815,-
207830,935867,ptp2,McnAVgp038,-,-,-,-,ptp2,protein-coding,-,-,-,ptp2,20180815,-
207830,935868,egt,McnAVgp039,-,-,-,-,ecdysteroid UDP-glucosyltransferase,protein-coding,-,-,-,ecdysteroid UDP-glucosyltransferase,20180815,-
207830,935869,pkip,McnAVgp045,-,-,-,-,protein kinase interacting protein PKIP,protein-coding,-,-,-,protein kinase interacting protein PKIP,20180815,-
207830,935870,arif-1,McnAVgp047,-,-,-,-,actin-rearrangement-inducing factor,protein-coding,-,-,-,actin-rearrangement-inducing factor,20180815,-
207830,935871,fgf,McnAVgp051,-,-,-,-,fibroblast growth factor FGF,protein-coding,-,-,-,fibroblast growth factor FGF,20180815,-
207830,935872,alk-exo,McnAVgp054,-,-,-,-,alkaline exonuclease ALK-EXO,protein-coding,-,-,-,alkaline exonuclease ALK-EXO,20201003,-
207830,935873,rr2b,McnAVgp058,-,-,-,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20210417,-
207830,935874,sod,McnAVgp066,-,-,-,-,superoxide dismutase SOD,protein-coding,-,-,-,superoxide dismutase SOD,20210417,-
207830,935875,bro-d,McnAVgp075,-,-,-,-,BRO-d,protein-coding,-,-,-,BRO-d,20201003,-
207830,935876,p13,McnAVgp076,-,-,-,-,p13-like protein,protein-coding,-,-,-,p13-like protein,20210417,-
207830,935877,odv-e66a,McnAVgp078,-,-,-,-,occlusion-derived virus envelope protein ODV-E66,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E66,20180815,-
207830,935878,vp80,McnAVgp082,-,-,-,-,vp80 capsid,protein-coding,-,-,-,vp80 capsid,20180815,-
207830,935879,lef-5,McnAVgp087,-,-,-,-,LEF-5,protein-coding,-,-,-,LEF-5,20180815,-
