#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540096,24722890,ACQ45_gp02,ACQ45_gp02,CPT_Stevie2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
1540096,24722891,ACQ45_gp03,ACQ45_gp03,CPT_Stevie3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1540096,24722892,ACQ45_gp04,ACQ45_gp04,CPT_Stevie4,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20201221,-
1540096,24722893,ACQ45_gp05,ACQ45_gp05,CPT_Stevie5,-,-,-,major head subunit precursor,protein-coding,-,-,-,major head subunit precursor,20201221,-
1540096,24722894,ACQ45_gp06,ACQ45_gp06,CPT_Stevie6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722895,ACQ45_gp07,ACQ45_gp07,CPT_Stevie7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722896,ACQ45_gp08,ACQ45_gp08,CPT_Stevie8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210129,-
1540096,24722897,ACQ45_gp09,ACQ45_gp09,CPT_Stevie9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722898,ACQ45_gp10,ACQ45_gp10,CPT_Stevie10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1540096,24722899,ACQ45_gp11,ACQ45_gp11,CPT_Stevie11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722900,ACQ45_gp12,ACQ45_gp12,CPT_Stevie12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540096,24722901,ACQ45_gp13,ACQ45_gp13,CPT_Stevie13,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
