#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696340,55626634,HWD05_gp002,HWD05_gp002,CPT_CIP9_002,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210313,-
2696340,55626635,rnlB,HWD05_gp003,CPT_CIP9_003,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210313,-
2696340,55626636,HWD05_gp004,HWD05_gp004,CPT_CIP9_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626637,HWD05_gp005,HWD05_gp005,CPT_CIP9_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626638,inh,HWD05_gp006,CPT_CIP9_006,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20200620,-
2696340,55626639,uvsW,HWD05_gp007,CPT_CIP9_007,-,-,-,"RNA-DNA and DNA-DNA helicase, ATPase",protein-coding,-,-,-,"RNA-DNA and DNA-DNA helicase, ATPase",20210313,-
2696340,55626640,uvsW,HWD05_gp008,CPT_CIP9_008,-,-,-,"RNA-DNA and DNA-DNA helicase, ATPase",protein-coding,-,-,-,"RNA-DNA and DNA-DNA helicase, ATPase",20210313,-
2696340,55626641,HWD05_gp009,HWD05_gp009,CPT_CIP9_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626642,HWD05_gp010,HWD05_gp010,CPT_CIP9_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626643,uvsY,HWD05_gp011,CPT_CIP9_011,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210306,-
2696340,55626644,HWD05_gp012,HWD05_gp012,CPT_CIP9_012,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210313,-
2696340,55626645,HWD05_gp013,HWD05_gp013,CPT_CIP9_013,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210313,-
2696340,55626646,HWD05_gp014,HWD05_gp014,CPT_CIP9_014,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20210313,-
2696340,55626647,HWD05_gp015,HWD05_gp015,CPT_CIP9_015,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210313,-
2696340,55626648,HWD05_gp016,HWD05_gp016,CPT_CIP9_016,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210306,-
2696340,55626649,HWD05_gp017,HWD05_gp017,CPT_CIP9_017,-,-,-,"baseplate hub subunit, tail length determinator",protein-coding,-,-,-,"baseplate hub subunit, tail length determinator",20200620,-
2696340,55626650,HWD05_gp018,HWD05_gp018,CPT_CIP9_018,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210313,-
2696340,55626651,HWD05_gp019,HWD05_gp019,CPT_CIP9_019,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210313,-
2696340,55626652,HWD05_gp020,HWD05_gp020,CPT_CIP9_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626653,alt,HWD05_gp021,CPT_CIP9_021,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210313,-
2696340,55626654,HWD05_gp022,HWD05_gp022,CPT_CIP9_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626655,HWD05_gp023,HWD05_gp023,CPT_CIP9_023,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210313,-
2696340,55626656,HWD05_gp024,HWD05_gp024,CPT_CIP9_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626657,HWD05_gp025,HWD05_gp025,CPT_CIP9_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626658,HWD05_gp026,HWD05_gp026,CPT_CIP9_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626659,HWD05_gp027,HWD05_gp027,CPT_CIP9_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626660,HWD05_gp028,HWD05_gp028,CPT_CIP9_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626661,HWD05_gp029,HWD05_gp029,CPT_CIP9_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626662,HWD05_gp030,HWD05_gp030,CPT_CIP9_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626663,HWD05_gp031,HWD05_gp031,CPT_CIP9_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626664,HWD05_gp032,HWD05_gp032,CPT_CIP9_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626665,HWD05_gp033,HWD05_gp033,CPT_CIP9_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626666,HWD05_gp034,HWD05_gp034,CPT_CIP9_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626667,rIII,HWD05_gp035,CPT_CIP9_035,-,-,-,"rIII lysis inhibition accessory protein, rapid lysis phenotype",protein-coding,-,-,-,"rIII lysis inhibition accessory protein, rapid lysis phenotype",20200620,-
2696340,55626668,HWD05_gp036,HWD05_gp036,CPT_CIP9_036,-,-,-,head assembly co-chaperone with GroEL,protein-coding,-,-,-,head assembly co-chaperone with GroEL,20200620,-
2696340,55626669,HWD05_gp037,HWD05_gp037,CPT_CIP9_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696340,55626670,HWD05_gp038,HWD05_gp038,CPT_CIP9_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626671,cd,HWD05_gp039,CPT_CIP9_039,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210313,-
2696340,55626672,HWD05_gp040,HWD05_gp040,CPT_CIP9_040,-,-,-,phospho-2-deydro-3-deoxyheptonate aldolase,protein-coding,-,-,-,phospho-2-deydro-3-deoxyheptonate aldolase,20210313,-
2696340,55626673,HWD05_gp041,HWD05_gp041,CPT_CIP9_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626674,HWD05_gp042,HWD05_gp042,CPT_CIP9_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696340,55626675,HWD05_gp043,HWD05_gp043,CPT_CIP9_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
