#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315544,63925704,2,KDW68_gp02,SEA_PAITO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210422,-
2315544,63925705,3,KDW68_gp03,SEA_PAITO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210422,-
2315544,63925706,4,KDW68_gp04,SEA_PAITO_4,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210422,-
2315544,63925707,5,KDW68_gp05,SEA_PAITO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925708,6,KDW68_gp06,SEA_PAITO_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210422,-
2315544,63925709,7,KDW68_gp07,SEA_PAITO_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210422,-
2315544,63925710,8,KDW68_gp08,SEA_PAITO_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925711,9,KDW68_gp09,SEA_PAITO_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210422,-
2315544,63925712,10,KDW68_gp10,SEA_PAITO_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210422,-
2315544,63925713,11,KDW68_gp11,SEA_PAITO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925714,12,KDW68_gp12,SEA_PAITO_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210422,-
2315544,63925715,13,KDW68_gp13,SEA_PAITO_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210422,-
2315544,63925716,15,KDW68_gp14,SEA_PAITO_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2315544,63925717,16,KDW68_gp16,SEA_PAITO_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210422,-
2315544,63925718,14,KDW68_gp15,SEA_PAITO_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210422,-
2315544,63925719,17,KDW68_gp17,SEA_PAITO_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2315544,63925720,18,KDW68_gp18,SEA_PAITO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2315544,63925721,19,KDW68_gp19,SEA_PAITO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925722,20,KDW68_gp20,SEA_PAITO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2315544,63925723,21,KDW68_gp21,SEA_PAITO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925724,22,KDW68_gp22,SEA_PAITO_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210422,-
2315544,63925725,23,KDW68_gp23,SEA_PAITO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925726,24,KDW68_gp24,SEA_PAITO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925727,25,KDW68_gp25,SEA_PAITO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925728,26,KDW68_gp26,SEA_PAITO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925729,27,KDW68_gp27,SEA_PAITO_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210422,-
2315544,63925730,28,KDW68_gp28,SEA_PAITO_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210422,-
2315544,63925731,29,KDW68_gp29,SEA_PAITO_29,-,-,-,holin,protein-coding,-,-,-,holin,20210422,-
2315544,63925732,30,KDW68_gp30,SEA_PAITO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925733,31,KDW68_gp31,SEA_PAITO_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925734,32,KDW68_gp32,SEA_PAITO_32,-,-,-,integrase,protein-coding,-,-,-,integrase,20210422,-
2315544,63925735,33,KDW68_gp33,SEA_PAITO_33,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210422,-
2315544,63925736,34,KDW68_gp34,SEA_PAITO_34,-,-,-,excise,protein-coding,-,-,-,excise,20210422,-
2315544,63925737,35,KDW68_gp35,SEA_PAITO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925738,36,KDW68_gp36,SEA_PAITO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925739,37,KDW68_gp37,SEA_PAITO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925740,38,KDW68_gp38,SEA_PAITO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925741,39,KDW68_gp39,SEA_PAITO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925742,40,KDW68_gp40,SEA_PAITO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925743,41,KDW68_gp41,SEA_PAITO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925744,42,KDW68_gp42,SEA_PAITO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925745,43,KDW68_gp43,SEA_PAITO_43,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210422,-
2315544,63925746,44,KDW68_gp44,SEA_PAITO_44,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210422,-
2315544,63925747,45,KDW68_gp45,SEA_PAITO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925748,46,KDW68_gp46,SEA_PAITO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925749,47,KDW68_gp47,SEA_PAITO_47,-,-,-,DNA-directed RNA polymerase subunit,protein-coding,-,-,-,DNA-directed RNA polymerase subunit,20210422,-
2315544,63925750,48,KDW68_gp48,SEA_PAITO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925751,49,KDW68_gp49,SEA_PAITO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925752,50,KDW68_gp50,SEA_PAITO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925753,51,KDW68_gp51,SEA_PAITO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925754,52,KDW68_gp52,SEA_PAITO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2315544,63925755,53,KDW68_gp53,SEA_PAITO_53,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210422,-
2315544,63925756,54,KDW68_gp54,SEA_PAITO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
