#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2024308,40095418,FDJ02_gp001,FDJ02_gp001,Sf21_gp1,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
2024308,40095419,FDJ02_gp002,FDJ02_gp002,Sf21_gp2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2024308,40095420,FDJ02_gp003,FDJ02_gp003,Sf21_gp3,-,-,-,DNA topoisomerase II,protein-coding,-,-,-,DNA topoisomerase II,20201221,-
2024308,40095421,FDJ02_gp004,FDJ02_gp004,Sf21_gp4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095422,FDJ02_gp005,FDJ02_gp005,Sf21_gp5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095423,FDJ02_gp006,FDJ02_gp006,Sf21_gp6,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20201221,-
2024308,40095424,FDJ02_gp007,FDJ02_gp007,Sf21_gp7,-,-,-,goF mRNA metabolism modulator,protein-coding,-,-,-,goF mRNA metabolism modulator,20200629,-
2024308,40095425,FDJ02_gp008,FDJ02_gp008,Sf21_gp8,-,-,-,cef modifier of suppressor tRNAs,protein-coding,-,-,-,cef modifier of suppressor tRNAs,20200629,-
2024308,40095426,FDJ02_gp009,FDJ02_gp009,Sf21_gp9,-,-,-,modifier of transcription,protein-coding,-,-,-,modifier of transcription,20200629,-
2024308,40095427,FDJ02_gp010,FDJ02_gp010,Sf21_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095428,FDJ02_gp011,FDJ02_gp011,Sf21_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095429,FDJ02_gp012,FDJ02_gp012,Sf21_gp12,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200629,-
2024308,40095430,FDJ02_gp013,FDJ02_gp013,Sf21_gp13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095431,FDJ02_gp014,FDJ02_gp014,Sf21_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095432,FDJ02_gp015,FDJ02_gp015,Sf21_gp15,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
2024308,40095433,FDJ02_gp016,FDJ02_gp016,Sf21_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095434,FDJ02_gp017,FDJ02_gp017,Sf21_gp17,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20200629,-
2024308,40095435,FDJ02_gp018,FDJ02_gp018,Sf21_gp18,-,-,-,ModA,protein-coding,-,-,-,ModA|gp18,20200629,-
2024308,40095436,FDJ02_gp019,FDJ02_gp019,Sf21_gp19,-,-,-,ModB,protein-coding,-,-,-,ModB|gp19,20200629,-
2024308,40095437,FDJ02_gp020,FDJ02_gp020,Sf21_gp20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095438,FDJ02_gp021,FDJ02_gp021,Sf21_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095439,FDJ02_gp022,FDJ02_gp022,Sf21_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2024308,40095440,FDJ02_gp023,FDJ02_gp023,Sf21_gp23,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
2024308,40095441,FDJ02_gp024,FDJ02_gp024,Sf21_gp24,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20200629,-
2024308,40095442,FDJ02_gp025,FDJ02_gp025,Sf21_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
