#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458863,22112790,S349_2,S349_2,-,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201221,-
1458863,22112791,S349_3,S349_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112792,S349_4,S349_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112793,S349_5,S349_5,-,-,-,-,RgdC-like exonuclease,protein-coding,-,-,-,RgdC-like exonuclease,20201221,-
1458863,22112794,S349_6,S349_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112795,S349_7,S349_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112796,S349_8,S349_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112797,S349_9,S349_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112798,S349_10,S349_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112799,S349_11,S349_11,-,-,-,-,NTP-PPase,protein-coding,-,-,-,NTP-PPase,20201221,-
1458863,22112800,S349_12,S349_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112801,S349_13,S349_13,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1458863,22112802,S349_14,S349_14,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1458863,22112803,S349_15,S349_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112804,S349_16,S349_16,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1458863,22112805,S349_17,S349_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112806,S349_18,S349_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112807,S349_19,S349_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112808,S349_20,S349_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112809,S349_21,S349_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112810,S349_22,S349_22,-,-,-,-,Mu gpF-like protein,protein-coding,-,-,-,Mu gpF-like protein,20201221,-
1458863,22112811,S349_23,S349_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112812,S349_24,S349_24,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1458863,22112813,S349_25,S349_25,-,-,-,-,homing endonuclease HNH,protein-coding,-,-,-,homing endonuclease HNH,20201221,-
1458863,22112814,S349_26,S349_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112815,S349_27,S349_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112816,S349_28,S349_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112817,S349_29,S349_29,-,-,-,-,head-tail connector,protein-coding,-,-,-,head-tail connector,20201221,-
1458863,22112818,S349_30,S349_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112819,S349_31,S349_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112820,S349_32,S349_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112821,S349_33,S349_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112822,S349_34,S349_34,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1458863,22112823,S349_35,S349_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112824,S349_36,S349_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112825,S349_38,S349_38,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1458863,22112826,S349_39,S349_39,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1458863,22112827,S349_37,S349_37,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1458863,22112828,S349_40,S349_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112829,S349_41,S349_41,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458863,22112830,S349_42,S349_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112831,S349_43,S349_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112832,S349_44,S349_44,-,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20201221,-
1458863,22112833,S349_45,S349_45,-,-,-,-,transglutaminase Cys peptidase,protein-coding,-,-,-,transglutaminase Cys peptidase,20201221,-
1458863,22112834,S349_46,S349_46,-,-,-,-,DD-transpeptidase,protein-coding,-,-,-,DD-transpeptidase,20201221,-
1458863,22112835,S349_47,S349_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112836,S349_48,S349_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458863,22112837,S349_49,S349_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
