#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089121,18561234,2,DORI_2,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20201220,-
1089121,18561235,3,DORI_3,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
1089121,18561236,4,DORI_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561237,5,DORI_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561238,6,DORI_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561239,7,DORI_7,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1089121,18561240,8,DORI_8,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201220,-
1089121,18561241,9,DORI_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561242,10,DORI_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561243,11,DORI_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561244,12,DORI_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561245,13,DORI_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561246,14,DORI_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561247,15,DORI_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561248,16,DORI_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089121,18561249,17,DORI_17,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1089121,18561250,18,DORI_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
