#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701846,40082484,FDI02_gp001,FDI02_gp001,Mordin_1,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1701846,40082485,FDI02_gp002,FDI02_gp002,Mordin_138,-,-,-,rIIB protein,protein-coding,-,-,-,rIIB protein,20200910,-
1701846,40082486,FDI02_gp003,FDI02_gp003,Mordin_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082487,FDI02_gp004,FDI02_gp004,Mordin_136,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200910,-
1701846,40082488,FDI02_gp005,FDI02_gp005,Mordin_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082489,FDI02_gp006,FDI02_gp006,Mordin_134,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
1701846,40082490,FDI02_gp007,FDI02_gp007,Mordin_133,-,-,-,o-spanin,protein-coding,-,-,-,o-spanin,20200910,-
1701846,40082491,FDI02_gp008,FDI02_gp008,Mordin_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082492,FDI02_gp009,FDI02_gp009,Mordin_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082493,FDI02_gp010,FDI02_gp010,Mordin_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082494,FDI02_gp011,FDI02_gp011,Mordin_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082495,FDI02_gp012,FDI02_gp012,Mordin_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082496,FDI02_gp013,FDI02_gp013,Mordin_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082497,FDI02_gp014,FDI02_gp014,Mordin_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082498,FDI02_gp015,FDI02_gp015,Mordin_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082499,FDI02_gp016,FDI02_gp016,Mordin_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082500,FDI02_gp017,FDI02_gp017,Mordin_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082501,FDI02_gp018,FDI02_gp018,Mordin_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082502,FDI02_gp019,FDI02_gp019,Mordin_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082503,FDI02_gp020,FDI02_gp020,Mordin_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082504,FDI02_gp021,FDI02_gp021,Mordin_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082505,FDI02_gp022,FDI02_gp022,Mordin_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082506,FDI02_gp023,FDI02_gp023,Mordin_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082507,FDI02_gp024,FDI02_gp024,Mordin_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082508,FDI02_gp025,FDI02_gp025,Mordin_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082509,FDI02_gp026,FDI02_gp026,Mordin_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082510,FDI02_gp027,FDI02_gp027,Mordin_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082511,FDI02_gp028,FDI02_gp028,Mordin_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082512,FDI02_gp029,FDI02_gp029,Mordin_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082513,FDI02_gp030,FDI02_gp030,Mordin_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082514,FDI02_gp031,FDI02_gp031,Mordin_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082515,FDI02_gp032,FDI02_gp032,Mordin_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082516,FDI02_gp033,FDI02_gp033,Mordin_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082517,FDI02_gp034,FDI02_gp034,Mordin_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082518,FDI02_gp035,FDI02_gp035,Mordin_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082519,FDI02_gp036,FDI02_gp036,Mordin_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082520,FDI02_gp037,FDI02_gp037,Mordin_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082521,FDI02_gp038,FDI02_gp038,Mordin_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082522,FDI02_gp039,FDI02_gp039,Mordin_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082523,FDI02_gp040,FDI02_gp040,Mordin_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082524,FDI02_gp041,FDI02_gp041,Mordin_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082525,FDI02_gp042,FDI02_gp042,Mordin_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701846,40082526,FDI02_gp043,FDI02_gp043,Mordin_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
