#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1223259,14515547,H379_gp02,H379_gp02,JBD24_002,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210129,-
1223259,14515548,H379_gp03,H379_gp03,JBD24_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515549,H379_gp04,H379_gp04,JBD24_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515550,H379_gp05,H379_gp05,JBD24_005,-,-,-,Mu transposase C-terminal domain-containing protein,protein-coding,-,-,-,Mu transposase C-terminal domain-containing protein,20201221,-
1223259,14515551,H379_gp06,H379_gp06,JBD24_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515552,H379_gp07,H379_gp07,JBD24_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515553,H379_gp08,H379_gp08,JBD24_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515554,H379_gp09,H379_gp09,JBD24_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515555,H379_gp10,H379_gp10,JBD24_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515556,H379_gp11,H379_gp11,JBD24_011,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20210417,-
1223259,14515557,H379_gp12,H379_gp12,JBD24_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515558,H379_gp13,H379_gp13,JBD24_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515559,H379_gp14,H379_gp14,JBD24_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515560,H379_gp15,H379_gp15,JBD24_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515561,H379_gp16,H379_gp16,JBD24_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515562,H379_gp17,H379_gp17,JBD24_017,-,-,-,DUF2786 domain-containing protein,protein-coding,-,-,-,DUF2786 domain-containing protein,20201221,-
1223259,14515563,H379_gp18,H379_gp18,JBD24_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515564,H379_gp19,H379_gp19,JBD24_019,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210417,-
1223259,14515565,H379_gp20,H379_gp20,JBD24_020,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210116,-
1223259,14515566,H379_gp21,H379_gp21,JBD24_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515567,H379_gp22,H379_gp22,JBD24_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515568,H379_gp23,H379_gp23,JBD24_023,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1223259,14515569,H379_gp24,H379_gp24,JBD24_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515570,H379_gp25,H379_gp25,JBD24_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515571,H379_gp26,H379_gp26,JBD24_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515572,H379_gp27,H379_gp27,JBD24_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515573,H379_gp28,H379_gp28,JBD24_028,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210417,-
1223259,14515574,H379_gp29,H379_gp29,JBD24_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515575,H379_gp30,H379_gp30,JBD24_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515576,H379_gp31,H379_gp31,JBD24_031,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
1223259,14515577,H379_gp32,H379_gp32,JBD24_032,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20210424,-
1223259,14515578,H379_gp33,H379_gp33,JBD24_033,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1223259,14515579,H379_gp34,H379_gp34,JBD24_034,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210424,-
1223259,14515580,H379_gp35,H379_gp35,JBD24_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1223259,14515581,H379_gp36,H379_gp36,JBD24_036,-,-,-,anti-CRISPR protein AcrFgp36,protein-coding,-,-,-,anti-CRISPR protein AcrFgp36,20210406,-
1223259,14515582,H379_gp37,H379_gp37,JBD24_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515583,H379_gp38,H379_gp38,JBD24_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515584,H379_gp39,H379_gp39,JBD24_039,-,-,-,protease,protein-coding,-,-,-,protease,20210417,-
1223259,14515585,H379_gp40,H379_gp40,JBD24_040,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20210417,-
1223259,14515586,H379_gp41,H379_gp41,JBD24_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515587,H379_gp42,H379_gp42,JBD24_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515588,H379_gp43,H379_gp43,JBD24_043,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210129,-
1223259,14515589,H379_gp44,H379_gp44,JBD24_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515590,H379_gp45,H379_gp45,JBD24_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515591,H379_gp46,H379_gp46,JBD24_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515592,H379_gp47,H379_gp47,JBD24_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515593,H379_gp48,H379_gp48,JBD24_048,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
1223259,14515594,H379_gp49,H379_gp49,JBD24_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1223259,14515595,H379_gp50,H379_gp50,JBD24_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515596,H379_gp51,H379_gp51,JBD24_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515597,H379_gp52,H379_gp52,JBD24_052,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1223259,14515598,H379_gp53,H379_gp53,JBD24_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515599,H379_gp54,H379_gp54,JBD24_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515600,H379_gp55,H379_gp55,JBD24_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515601,H379_gp56,H379_gp56,JBD24_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515602,H379_gp57,H379_gp57,JBD24_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515603,H379_gp58,H379_gp58,JBD24_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14515604,H379_gp01,H379_gp01,JBD24_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223259,14564096,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
