#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675244,65070086,KMC96_gp02,KMC96_gp02,CHPC122_000346,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2675244,65070087,KMC96_gp03,KMC96_gp03,CHPC122_000347,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070088,KMC96_gp04,KMC96_gp04,CHPC122_000348,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070089,KMC96_gp05,KMC96_gp05,CHPC122_000349,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070090,KMC96_gp06,KMC96_gp06,CHPC122_000350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070091,KMC96_gp07,KMC96_gp07,CHPC122_000351,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070092,KMC96_gp08,KMC96_gp08,CHPC122_000352,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070093,KMC96_gp09,KMC96_gp09,CHPC122_000353,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070094,KMC96_gp10,KMC96_gp10,CHPC122_000354,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070095,KMC96_gp11,KMC96_gp11,CHPC122_000355,-,-,-,essential recombination function protein,protein-coding,-,-,-,essential recombination function protein,20210608,-
2675244,65070096,KMC96_gp12,KMC96_gp12,CHPC122_000356,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070097,KMC96_gp13,KMC96_gp13,CHPC122_000357,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070098,KMC96_gp14,KMC96_gp14,CHPC122_000358,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675244,65070099,KMC96_gp15,KMC96_gp15,CHPC122_000359,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
