#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327987,16797376,Phi12a:1_pg8,Phi12a:1_pg8,-,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,protein-coding,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,20180816,-
1327987,16797377,Phi12a:1_pg13,Phi12a:1_pg13,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20180816,-
1327987,16797378,Phi12a:1_pg4,Phi12a:1_pg4,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20180816,-
1327987,16797379,Phi12a:1_pg9,Phi12a:1_pg9,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20180816,-
1327987,16797380,Phi12a:1_pg5,Phi12a:1_pg5,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20180816,-
1327987,16797381,Phi12a:1_gp12,Phi12a:1_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1327987,16797382,Phi12a:1_pg3,Phi12a:1_pg3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1327987,16797383,Phi12a:1_pg7,Phi12a:1_pg7,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20180816,-
1327987,16797384,Phi12a:1_pg11,Phi12a:1_pg11,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20180816,-
1327987,16797385,Phi12a:1_pg10,Phi12a:1_pg10,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20180816,-
1327987,16797386,Phi12a:1_pg2,Phi12a:1_pg2,-,-,-,-,replication initiation factor,protein-coding,-,-,-,replication initiation factor,20180816,-
1327987,16797387,Phi12a:1_gp1,Phi12a:1_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180816,-
1327987,16797388,Phi12a:1_pg6,Phi12a:1_pg6,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20180816,-
1327987,16830614,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200506,-
