#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
707757,8997234,KP15_2,KP15_2,-,-,-,-,RIIA-RIIB membrane-associated protein,protein-coding,-,-,-,RIIA-RIIB membrane-associated protein,20201220,-
707757,8997236,KP15_4,KP15_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997237,KP15_5,KP15_5,-,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20201220,-
707757,8997238,KP15_6,KP15_6,-,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20201220,-
707757,8997239,KP15_7,KP15_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997240,KP15_8,KP15_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997241,KP15_9,KP15_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997242,KP15_10,KP15_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
707757,8997244,KP15_13A,KP15_13A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997245,KP15_13,KP15_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997246,KP15_14,KP15_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997247,KP15_15,KP15_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997248,KP15_16,KP15_16,-,-,-,-,DexA exonuclease A,protein-coding,-,-,-,DexA exonuclease A,20201220,-
707757,8997249,KP15_17,KP15_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997250,KP15_18,KP15_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997251,KP15_19,KP15_19,-,-,-,-,Dda DNA helicase,protein-coding,-,-,-,Dda DNA helicase,20201220,-
707757,8997252,KP15_20,KP15_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997253,KP15_21,KP15_21,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20201220,-
707757,8997254,KP15_22,KP15_22,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20201220,-
707757,8997255,KP15_23,KP15_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997256,KP15_24,KP15_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
707757,8997257,KP15_25,KP15_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997258,KP15_26,KP15_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997259,KP15_27,KP15_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997260,KP15_28,KP15_28,-,-,-,-,replication and recombination DNA helicase,protein-coding,-,-,-,replication and recombination DNA helicase,20201220,-
707757,8997261,KP15_29,KP15_29,-,-,-,-,membrane-associated initiation of head vertex,protein-coding,-,-,-,membrane-associated initiation of head vertex,20201220,-
707757,8997263,KP15_31,KP15_31,-,-,-,-,UvsX RecA-like recombination protein,protein-coding,-,-,-,UvsX RecA-like recombination protein,20201220,-
707757,8997264,KP15_32,KP15_32,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
707757,8997265,KP15_33,KP15_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997266,KP15_34,KP15_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997267,KP15_35,KP15_35,-,-,-,-,translational repressor of early genes,protein-coding,-,-,-,translational repressor of early genes,20201220,-
707757,8997268,KP15_36,KP15_36,-,-,-,-,clamp-loader subunit,protein-coding,-,-,-,clamp-loader subunit,20201220,-
707757,8997269,KP15_37,KP15_37,-,-,-,-,clamp-loader subunit,protein-coding,-,-,-,clamp-loader subunit,20201220,-
707757,8997271,KP15_39,KP15_39,-,-,-,-,sliding clamp DNA polymerase,protein-coding,-,-,-,sliding clamp DNA polymerase,20201220,-
707757,8997272,KP15_40,KP15_40,-,-,-,-,RpbA RNA polymerase binding protein,protein-coding,-,-,-,RpbA RNA polymerase binding protein,20201220,-
707757,8997273,KP15_41,KP15_41,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201220,-
707757,8997274,KP15_42,KP15_42,-,-,-,-,loader of gene 41 DNA helicase,protein-coding,-,-,-,loader of gene 41 DNA helicase,20210417,-
707757,8997275,KP15_43,KP15_43,-,-,-,-,late promoter transcription,protein-coding,-,-,-,late promoter transcription,20201220,-
707757,8997276,KP15_44,KP15_44,-,-,-,-,DsbA dsDNA binding,protein-coding,-,-,-,DsbA dsDNA binding,20201220,-
707757,8997277,KP15_45,KP15_45,-,-,-,-,RnaseH,protein-coding,-,-,-,RnaseH,20201220,-
707757,8997278,KP15_46,KP15_46,-,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20201220,-
707757,8997279,KP15_47,KP15_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997280,KP15_48,KP15_48,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210417,-
707757,8997281,KP15_49,KP15_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997282,KP15_50,KP15_50,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20201220,-
707757,8997283,KP15_51,KP15_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
707757,8997284,KP15_52,KP15_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
707757,8997285,KP15_53,KP15_53,-,-,-,-,Frd dihydrofolate reductase,protein-coding,-,-,-,Frd dihydrofolate reductase,20201220,-
707757,8997286,KP15_54,KP15_54,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20210123,-
707757,8997287,KP15_55,KP15_55,-,-,-,-,NrdA ribonucleotide reductase A subunit,protein-coding,-,-,-,NrdA ribonucleotide reductase A subunit,20201220,-
707757,8997288,KP15_56,KP15_56,-,-,-,-,NrdB ribonucleotide reductase B subunit,protein-coding,-,-,-,NrdB ribonucleotide reductase B subunit,20201220,-
707757,8997290,KP15_58,KP15_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
707757,8997291,KP15_59,KP15_59,-,-,-,-,DenA endonuclease II,protein-coding,-,-,-,DenA endonuclease II,20201220,-
707757,8997292,KP15_60,KP15_60,-,-,-,-,RnlA RNA ligase 1,protein-coding,-,-,-,RnlA RNA ligase 1,20201220,-
