#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
505292,7056545,ORF7,PPMP38_gp07,-,-,-,-,DNA transposition protein,protein-coding,-,-,-,DNA transposition protein,20200912,-
505292,7056546,ORF8,PPMP38_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056547,ORF9,PPMP38_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056548,ORF10,PPMP38_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056549,ORF11,PPMP38_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056550,ORF12,PPMP38_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056551,ORF13,PPMP38_gp13,-,-,-,-,host nuclease inhibitor protein,protein-coding,-,-,-,host nuclease inhibitor protein,20200629,-
505292,7056552,ORF14,PPMP38_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056553,ORF15,PPMP38_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056554,ORF16,PPMP38_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056555,ORF17,PPMP38_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056556,ORF18,PPMP38_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
505292,7056557,ORF19,PPMP38_gp19,-,-,-,-,putative integral membrane protein,protein-coding,-,-,-,putative integral membrane protein,20200629,-
505292,7056558,ORF19a,PPMP38_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056559,ORF20,PPMP38_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056560,V,PPMP38_gp22,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201220,-
505292,7056561,ORF21a,PPMP38_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056562,ORF22,PPMP38_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056563,ORF23,PPMP38_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056564,ORF24,PPMP38_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056565,ORF25,PPMP38_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056566,ORF26,PPMP38_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
505292,7056567,ORF27,PPMP38_gp29,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
505292,7056568,ORF28,PPMP38_gp30,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20200629,-
505292,7056569,ORF29,PPMP38_gp31,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210424,-
505292,7056570,ORF33,PPMP38_gp32,-,-,-,-,protease (I) and scaffold (Z) protein,protein-coding,-,-,-,protease (I) and scaffold (Z) protein,20200629,-
505292,7056571,ORF35,PPMP38_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
505292,7056572,ORF36,PPMP38_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
505292,7056573,ORF37,PPMP38_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056574,ORF38,PPMP38_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
505292,7056575,ORF39,PPMP38_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056576,ORF40,PPMP38_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056577,ORF41,PPMP38_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056578,ORF43,PPMP38_gp40,-,-,-,-,hypothetical protein gpGT,protein-coding,-,-,-,hypothetical protein gpGT,20200629,-
505292,7056579,ORF42,PPMP38_gp41,-,-,-,-,hypothetical protein gpG,protein-coding,-,-,-,hypothetical protein gpG,20200629,-
505292,7056580,ORF46e,PPMP38_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056581,ORF48,PPMP38_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056582,ORF49,PPMP38_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056583,ORF50,PPMP38_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056584,ORF51,PPMP38_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056585,ORF52,PPMP38_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056586,ORF53,PPMP38_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056587,ORF54,PPMP38_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
505292,7056588,ORF55,PPMP38_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
