#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053708,55808588,HYP53_gp02,HYP53_gp02,bIBBF12_gp02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2053708,55808589,HYP53_gp03,HYP53_gp03,bIBBF12_gp03,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200919,-
2053708,55808590,HYP53_gp04,HYP53_gp04,bIBBF12_gp04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2053708,55808591,HYP53_gp05,HYP53_gp05,bIBBF12_gp05,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210417,-
2053708,55808592,HYP53_gp06,HYP53_gp06,bIBBF12_gp06,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200704,-
2053708,55808593,HYP53_gp07,HYP53_gp07,bIBBF12_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808594,HYP53_gp08,HYP53_gp08,bIBBF12_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808595,HYP53_gp09,HYP53_gp09,bIBBF12_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808596,HYP53_gp10,HYP53_gp10,bIBBF12_gp10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808597,HYP53_gp11,HYP53_gp11,bIBBF12_gp11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2053708,55808598,HYP53_gp12,HYP53_gp12,bIBBF12_gp12,-,-,-,tail structural protein,protein-coding,-,-,-,tail structural protein,20200704,-
2053708,55808599,HYP53_gp13,HYP53_gp13,bIBBF12_gp13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808600,HYP53_gp14,HYP53_gp14,bIBBF12_gp14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808601,HYP53_gp15,HYP53_gp15,bIBBF12_gp15,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210424,-
2053708,55808602,HYP53_gp16,HYP53_gp16,bIBBF12_gp16,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2053708,55808603,HYP53_gp17,HYP53_gp17,bIBBF12_gp17,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210417,-
2053708,55808604,HYP53_gp18,HYP53_gp18,bIBBF12_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808605,HYP53_gp19,HYP53_gp19,bIBBF12_gp19,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210424,-
2053708,55808606,HYP53_gp20,HYP53_gp20,bIBBF12_gp20,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2053708,55808607,HYP53_gp21,HYP53_gp21,bIBBF12_gp21,-,-,-,lysin,protein-coding,-,-,-,lysin,20210417,-
2053708,55808608,HYP53_gp22,HYP53_gp22,bIBBF12_gp22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2053708,55808609,HYP53_gp23,HYP53_gp23,bIBBF12_gp23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808610,HYP53_gp24,HYP53_gp24,bIBBF12_gp24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808611,HYP53_gp25,HYP53_gp25,bIBBF12_gp25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808612,HYP53_gp26,HYP53_gp26,bIBBF12_gp26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808613,HYP53_gp27,HYP53_gp27,bIBBF12_gp27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808614,HYP53_gp28,HYP53_gp28,bIBBF12_gp28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808615,HYP53_gp29,HYP53_gp29,bIBBF12_gp29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808616,HYP53_gp30,HYP53_gp30,bIBBF12_gp30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808617,HYP53_gp31,HYP53_gp31,bIBBF12_gp31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808618,HYP53_gp32,HYP53_gp32,bIBBF12_gp32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2053708,55808619,HYP53_gp33,HYP53_gp33,bIBBF12_gp33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808620,HYP53_gp34,HYP53_gp34,bIBBF12_gp34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808621,HYP53_gp35,HYP53_gp35,bIBBF12_gp35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808622,HYP53_gp36,HYP53_gp36,bIBBF12_gp36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808623,HYP53_gp37,HYP53_gp37,bIBBF12_gp37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808624,HYP53_gp38,HYP53_gp38,bIBBF12_gp38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808625,HYP53_gp39,HYP53_gp39,bIBBF12_gp39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808626,HYP53_gp40,HYP53_gp40,bIBBF12_gp40,-,-,-,Single stranded DNA-binding protein,protein-coding,-,-,-,Single stranded DNA-binding protein,20210424,-
2053708,55808627,HYP53_gp41,HYP53_gp41,bIBBF12_gp41,-,-,-,putative single-stranded annelaing protein,protein-coding,-,-,-,putative single-stranded annelaing protein,20210424,-
2053708,55808628,HYP53_gp42,HYP53_gp42,bIBBF12_gp42,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210424,-
2053708,55808629,HYP53_gp43,HYP53_gp43,bIBBF12_gp43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808630,HYP53_gp44,HYP53_gp44,bIBBF12_gp44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053708,55808631,HYP53_gp45,HYP53_gp45,bIBBF12_gp45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
