#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
351368,5952265,nad1,PocapMp08,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20200919,-
351368,5952266,rrnL,PocapMr03,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952267,rrnL,PocapMr04,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952268,rrnL,PocapMr12,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952269,nad4,PocapMp05,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20200919,-
351368,5952270,rrnL,PocapMr11,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952271,rrnS,PocapMr10,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952272,rrnS,PocapMr07,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952273,rrnL,PocapMr06,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952274,cox1,PocapMp04,-,-,MT,-,cytochrome oxidase subunit 1,protein-coding,-,-,-,cytochrome oxidase subunit 1,20200919,-
351368,5952275,rrnL,PocapMr08,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952276,rrnS,PocapMr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952277,rrnL,PocapMr09,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952278,PocapMr02,PocapMr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952279,trnM,PocapMt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
351368,5952280,rrnS,PocapMr05,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
351368,5952281,nad6,PocapMp01,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20200919,-
351368,5952282,nad5,PocapMp07,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20200919,-
351368,5952283,rrnL,PocapMp03,-,-,MT,-,-,other,-,-,-,-,20200909,-
351368,5952284,cob,PocapMp02,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20200919,-
351368,5952285,nad2,PocapMp06,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200919,-
