#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1314785,63818182,LAESUDRAFT_100037,LAESUDRAFT_100037,-,-,Unknown,-,peroxisomal acyl-CoA-dehydrogenase,protein-coding,-,-,-,peroxisomal acyl-CoA-dehydrogenase,20210421,-
1314785,63818183,LAESUDRAFT_100695,LAESUDRAFT_100695,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818184,LAESUDRAFT_100840,LAESUDRAFT_100840,-,-,Unknown,-,sphingomyelin phosphodiesterase,protein-coding,-,-,-,sphingomyelin phosphodiesterase,20210421,-
1314785,63818185,LAESUDRAFT_100875,LAESUDRAFT_100875,-,-,Unknown,-,feruloyl esterase-like protein,protein-coding,-,-,-,feruloyl esterase-like protein,20210421,-
1314785,63818186,LAESUDRAFT_10089,LAESUDRAFT_10089,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818187,LAESUDRAFT_101484,LAESUDRAFT_101484,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818188,LAESUDRAFT_101777,LAESUDRAFT_101777,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818189,LAESUDRAFT_101827,LAESUDRAFT_101827,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818190,LAESUDRAFT_101845,LAESUDRAFT_101845,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818191,LAESUDRAFT_102287,LAESUDRAFT_102287,-,-,Unknown,-,ClpP/crotonase,protein-coding,-,-,-,ClpP/crotonase,20210421,-
1314785,63818192,LAESUDRAFT_102723,LAESUDRAFT_102723,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818193,LAESUDRAFT_102968,LAESUDRAFT_102968,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818194,LAESUDRAFT_103512,LAESUDRAFT_103512,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818195,LAESUDRAFT_103549,LAESUDRAFT_103549,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818196,LAESUDRAFT_103559,LAESUDRAFT_103559,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210421,-
1314785,63818197,LAESUDRAFT_10359,LAESUDRAFT_10359,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210421,-
1314785,63818198,LAESUDRAFT_103790,LAESUDRAFT_103790,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818199,LAESUDRAFT_103934,LAESUDRAFT_103934,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818200,LAESUDRAFT_103938,LAESUDRAFT_103938,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210421,-
1314785,63818201,LAESUDRAFT_104031,LAESUDRAFT_104031,-,-,Unknown,-,A1pp-domain-containing protein,protein-coding,-,-,-,A1pp-domain-containing protein,20210421,-
1314785,63818202,LAESUDRAFT_104112,LAESUDRAFT_104112,-,-,Unknown,-,serine threonine protein phosphatase 2A,protein-coding,-,-,-,serine threonine protein phosphatase 2A,20210421,-
1314785,63818203,LAESUDRAFT_104354,LAESUDRAFT_104354,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818204,LAESUDRAFT_104421,LAESUDRAFT_104421,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818205,LAESUDRAFT_104569,LAESUDRAFT_104569,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818206,LAESUDRAFT_105000,LAESUDRAFT_105000,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818207,LAESUDRAFT_105074,LAESUDRAFT_105074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818208,LAESUDRAFT_105570,LAESUDRAFT_105570,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818209,LAESUDRAFT_105659,LAESUDRAFT_105659,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818210,LAESUDRAFT_105773,LAESUDRAFT_105773,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210421,-
1314785,63818211,LAESUDRAFT_106367,LAESUDRAFT_106367,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818212,LAESUDRAFT_106565,LAESUDRAFT_106565,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210421,-
1314785,63818213,LAESUDRAFT_107131,LAESUDRAFT_107131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818214,LAESUDRAFT_107132,LAESUDRAFT_107132,-,-,Unknown,-,kinase-like protein,protein-coding,-,-,-,kinase-like protein,20210421,-
1314785,63818215,LAESUDRAFT_107245,LAESUDRAFT_107245,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818216,LAESUDRAFT_107262,LAESUDRAFT_107262,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818217,LAESUDRAFT_107284,LAESUDRAFT_107284,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818218,LAESUDRAFT_107448,LAESUDRAFT_107448,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818219,LAESUDRAFT_107527,LAESUDRAFT_107527,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818220,LAESUDRAFT_108521,LAESUDRAFT_108521,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
1314785,63818221,LAESUDRAFT_108540,LAESUDRAFT_108540,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210421,-
