#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10228,4126647,ATP6,-,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20200911,-
10228,4126648,trnW,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126649,trnL,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126650,COX1a,-,-,-,MT,-,cytochrome c oxidase subunit Ia,protein-coding,-,-,-,cytochrome c oxidase subunit Ia,20200911,-
10228,4126651,CYTB,-,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20210424,-
10228,4126652,ND4L,-,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20200911,-
10228,4126653,ORF168a,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,4126654,ND1,-,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20200911,-
10228,4126655,trnV,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126656,trnA,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126657,trnL,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126658,ND3,-,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20200911,-
10228,4126659,trnR,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126660,trnY,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126661,trnQ,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126663,trnL,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126664,trnD,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126665,trnS,-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200911,-
10228,4126666,ND6,-,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20200911,-
10228,4126667,COX1b,-,-,-,MT,-,cytochrome c oxidase subunit Ib,protein-coding,-,-,-,cytochrome c oxidase subunit Ib,20200911,-
10228,4126668,ORF168b,-,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200911,-
10228,4126669,COX3,-,-,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,cytochrome c oxidase subunit III,20200911,-
10228,4126670,ND5,-,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20200911,-
