#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1325953,16212554,PEGLEG_14,PEGLEG_14,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1325953,16212555,PEGLEG_80,PEGLEG_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212556,PEGLEG_45,PEGLEG_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212557,PEGLEG_44,PEGLEG_44,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200910,-
1325953,16212558,PEGLEG_43,PEGLEG_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212559,PEGLEG_94,PEGLEG_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212560,PEGLEG_74,PEGLEG_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212561,PEGLEG_42,PEGLEG_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212562,PEGLEG_107,PEGLEG_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212563,PEGLEG_41,PEGLEG_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212564,PEGLEG_65,PEGLEG_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212565,PEGLEG_133,PEGLEG_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212566,PEGLEG_154,PEGLEG_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212567,PEGLEG_57,PEGLEG_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212568,PEGLEG_40,PEGLEG_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212569,PEGLEG_119,PEGLEG_119,-,-,-,-,RtcB,protein-coding,-,-,-,RtcB,20200910,-
1325953,16212570,PEGLEG_5,PEGLEG_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212571,PEGLEG_6,PEGLEG_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212572,PEGLEG_39,PEGLEG_39,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20200910,-
1325953,16212573,PEGLEG_149,PEGLEG_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212574,PEGLEG_47,PEGLEG_47,-,-,-,-,NrdC,protein-coding,-,-,-,NrdC,20200910,-
1325953,16212575,PEGLEG_126,PEGLEG_126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212576,PEGLEG_38,PEGLEG_38,-,-,-,-,LysB,protein-coding,-,-,-,LysB,20200910,-
1325953,16212577,PEGLEG_37,PEGLEG_37,-,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
1325953,16212578,PEGLEG_36,PEGLEG_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212579,PEGLEG_35,PEGLEG_35,-,-,-,-,LysA,protein-coding,-,-,-,LysA,20200910,-
1325953,16212580,PEGLEG_34,PEGLEG_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212581,PEGLEG_33,PEGLEG_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212582,PEGLEG_96,PEGLEG_96,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20200910,-
1325953,16212583,PEGLEG_31,PEGLEG_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212584,PEGLEG_30,PEGLEG_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1325953,16212585,PEGLEG_29,PEGLEG_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1325953,16212586,PEGLEG_10,PEGLEG_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212587,PEGLEG_127,PEGLEG_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212588,PEGLEG_141,PEGLEG_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212589,PEGLEG_46,PEGLEG_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212590,PEGLEG_139,PEGLEG_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212591,PEGLEG_100,PEGLEG_100,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212592,PEGLEG_129,PEGLEG_129,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20200910,-
1325953,16212593,PEGLEG_28,PEGLEG_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1325953,16212594,PEGLEG_27,PEGLEG_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1325953,16212595,PEGLEG_26,PEGLEG_26,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200910,-
1325953,16212596,PEGLEG_58,PEGLEG_58,-,-,-,-,ClpP-like protein,protein-coding,-,-,-,ClpP-like protein,20200910,-
1325953,16212597,PEGLEG_86,PEGLEG_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212598,PEGLEG_2,PEGLEG_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212599,PEGLEG_24,PEGLEG_24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1325953,16212600,PEGLEG_77,PEGLEG_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212601,PEGLEG_155,PEGLEG_155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212602,PEGLEG_25,PEGLEG_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1325953,16212603,PEGLEG_19,PEGLEG_19,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
1325953,16212604,PEGLEG_153,PEGLEG_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212605,PEGLEG_116,PEGLEG_116,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212606,PEGLEG_78,PEGLEG_78,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20200910,-
1325953,16212607,PEGLEG_111,PEGLEG_111,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212608,PEGLEG_89,PEGLEG_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212609,PEGLEG_90,PEGLEG_90,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212610,PEGLEG_64,PEGLEG_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212611,PEGLEG_32,PEGLEG_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212612,PEGLEG_92,PEGLEG_92,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212613,PEGLEG_3,PEGLEG_3,-,-,-,-,Lsr2,protein-coding,-,-,-,Lsr2,20200910,-
1325953,16212614,PEGLEG_112,PEGLEG_112,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212615,PEGLEG_117,PEGLEG_117,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20200910,-
1325953,16212616,PEGLEG_95,PEGLEG_95,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212617,PEGLEG_159,PEGLEG_159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212618,PEGLEG_91,PEGLEG_91,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200910,-
1325953,16212619,PEGLEG_87,PEGLEG_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212620,PEGLEG_157,PEGLEG_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212621,PEGLEG_120,PEGLEG_120,-,-,-,-,band 7 protein,protein-coding,-,-,-,band 7 protein,20201026,-
1325953,16212622,PEGLEG_66,PEGLEG_66,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200910,-
1325953,16212623,PEGLEG_103,PEGLEG_103,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212624,PEGLEG_125,PEGLEG_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212625,PEGLEG_146,PEGLEG_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212626,PEGLEG_93,PEGLEG_93,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212627,PEGLEG_22,PEGLEG_22,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
1325953,16212628,PEGLEG_118,PEGLEG_118,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212629,PEGLEG_62,PEGLEG_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212630,PEGLEG_152,PEGLEG_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212631,PEGLEG_88,PEGLEG_88,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20200910,-
1325953,16212632,PEGLEG_136,PEGLEG_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1325953,16212633,PEGLEG_1,PEGLEG_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212634,PEGLEG_105,PEGLEG_105,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212635,PEGLEG_59,PEGLEG_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212636,PEGLEG_49,PEGLEG_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212637,PEGLEG_124,PEGLEG_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
1325953,16212638,PEGLEG_9,PEGLEG_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212639,PEGLEG_158,PEGLEG_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212640,PEGLEG_81,PEGLEG_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212641,PEGLEG_138,PEGLEG_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212642,PEGLEG_108,PEGLEG_108,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212643,PEGLEG_7,PEGLEG_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212644,PEGLEG_67,PEGLEG_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212645,PEGLEG_122,PEGLEG_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212646,PEGLEG_20,PEGLEG_20,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
1325953,16212647,PEGLEG_109,PEGLEG_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212648,PEGLEG_97,PEGLEG_97,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212649,PEGLEG_17,PEGLEG_17,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
1325953,16212650,PEGLEG_143,PEGLEG_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212651,PEGLEG_98,PEGLEG_98,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212652,PEGLEG_53,PEGLEG_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212653,PEGLEG_131,PEGLEG_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212654,PEGLEG_104,PEGLEG_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212655,PEGLEG_56,PEGLEG_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212656,PEGLEG_68,PEGLEG_68,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20200910,-
1325953,16212657,PEGLEG_8,PEGLEG_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212658,PEGLEG_115,PEGLEG_115,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212659,PEGLEG_51,PEGLEG_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212660,PEGLEG_128,PEGLEG_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212661,PEGLEG_73,PEGLEG_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212662,PEGLEG_99,PEGLEG_99,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212663,PEGLEG_130,PEGLEG_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212664,PEGLEG_52,PEGLEG_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212665,PEGLEG_60,PEGLEG_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212666,PEGLEG_113,PEGLEG_113,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212667,PEGLEG_23,PEGLEG_23,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200910,-
1325953,16212668,PEGLEG_16,PEGLEG_16,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
1325953,16212669,PEGLEG_134,PEGLEG_134,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1325953,16212670,PEGLEG_12,PEGLEG_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212671,PEGLEG_63,PEGLEG_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212672,PEGLEG_150,PEGLEG_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212673,PEGLEG_76,PEGLEG_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212674,PEGLEG_123,PEGLEG_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212675,PEGLEG_132,PEGLEG_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212676,PEGLEG_61,PEGLEG_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212677,PEGLEG_156,PEGLEG_156,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20200910,-
1325953,16212678,PEGLEG_102,PEGLEG_102,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1325953,16212679,PEGLEG_82,PEGLEG_82,-,-,-,-,PTPc,protein-coding,-,-,-,PTPc,20200910,-
1325953,16212680,PEGLEG_18,PEGLEG_18,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200910,-
1325953,16212681,PEGLEG_137,PEGLEG_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212682,PEGLEG_83,PEGLEG_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212683,PEGLEG_15,PEGLEG_15,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1325953,16212684,PEGLEG_147,PEGLEG_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212685,PEGLEG_50,PEGLEG_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212686,PEGLEG_70,PEGLEG_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212687,PEGLEG_85,PEGLEG_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1325953,16212688,PEGLEG_54,PEGLEG_54,-,-,-,-,ERF protein,protein-coding,-,-,-,ERF protein,20200910,-
1325953,16212689,PEGLEG_106,PEGLEG_106,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1325953,16212690,PEGLEG_142,PEGLEG_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
