#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
754041,15013071,SWVG_00002,SWVG_00002,-,-,-,-,tail tube A,protein-coding,-,-,-,tail tube A,20201220,-
754041,15013072,SWVG_00003,SWVG_00003,-,-,-,-,tail tube B,pseudo,-,-,-,-,20201220,-
754041,15013073,SWVG_00004,SWVG_00004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013074,SWVG_00005,SWVG_00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013075,SWVG_00006,SWVG_00006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013076,SWVG_00007,SWVG_00007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013077,SWVG_00008,SWVG_00008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013078,SWVG_00009,SWVG_00009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013079,SWVG_00010,SWVG_00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013080,SWVG_00011,SWVG_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013081,SWVG_00012,SWVG_00012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013082,SWVG_00013,SWVG_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013083,SWVG_00014,SWVG_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013084,SWVG_00015,SWVG_00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013085,SWVG_00016,SWVG_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013086,SWVG_00017,SWVG_00017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013087,SWVG_00018,SWVG_00018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013088,SWVG_00019,SWVG_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013089,SWVG_00020,SWVG_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013090,SWVG_00021,SWVG_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013091,SWVG_00022,SWVG_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013092,SWVG_00023,SWVG_00023,-,-,-,-,DNA maturase beta subunit,protein-coding,-,-,-,DNA maturase beta subunit,20201220,-
754041,15013093,SWVG_00024,SWVG_00024,-,-,-,-,thymidylate synthase,pseudo,-,-,-,-,20201220,-
754041,15013094,SWVG_00025,SWVG_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013095,SWVG_00026,SWVG_00026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013096,SWVG_00027,SWVG_00027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013097,SWVG_00028,SWVG_00028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013098,SWVG_00029,SWVG_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013099,SWVG_00030,SWVG_00030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
754041,15013100,SWVG_00031,SWVG_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
