#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204523,22277699,PI33_gp001,PI33_gp001,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200909,-
1204523,22277700,PI33_gt002,PI33_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204523,22277701,PI33_gt003,PI33_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204523,22277702,PI33_gt004,PI33_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204523,22277703,PI33_gp198,PI33_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277704,PI33_gp197,PI33_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277705,PI33_gp002,PI33_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277706,PI33_gp003,PI33_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277707,PI33_gp004,PI33_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277708,PI33_gp005,PI33_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1204523,22277709,PI33_gp006,PI33_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1204523,22277710,PI33_gp007,PI33_gp007,-,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20200909,-
1204523,22277711,PI33_gp008,PI33_gp008,-,-,-,-,ribonucleotide reductase of class Ia (aerobic) beta subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) beta subunit,20210424,-
1204523,22277712,PI33_gp009,PI33_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1204523,22277713,PI33_gp010,PI33_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277714,PI33_gp011,PI33_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277715,PI33_gp012,PI33_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277716,PI33_gp013,PI33_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204523,22277717,PI33_gp014,PI33_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277718,PI33_gp015,PI33_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277719,PI33_gp016,PI33_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277720,PI33_gp017,PI33_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277721,PI33_gp018,PI33_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277722,PI33_gp019,PI33_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277723,PI33_gp020,PI33_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277724,PI33_gp021,PI33_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277725,PI33_gp022,PI33_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277726,PI33_gp023,PI33_gp023,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210417,-
1204523,22277727,PI33_gp024,PI33_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277728,PI33_gp025,PI33_gp025,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200909,-
1204523,22277729,PI33_gp026,PI33_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277730,PI33_gp027,PI33_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277731,PI33_gp028,PI33_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277732,PI33_gp029,PI33_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1204523,22277733,PI33_gp030,PI33_gp030,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
1204523,22277734,PI33_gp031,PI33_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277735,PI33_gp032,PI33_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1204523,22277736,PI33_gp033,PI33_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277737,PI33_gp034,PI33_gp034,-,-,-,-,phage recombination protein,protein-coding,-,-,-,phage recombination protein,20210123,-
1204523,22277738,PI33_gp035,PI33_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277739,PI33_gp036,PI33_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277740,PI33_gp037,PI33_gp037,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200909,-
1204523,22277741,PI33_gp038,PI33_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277742,PI33_gp039,PI33_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277743,PI33_gp040,PI33_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277744,PI33_gp041,PI33_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277745,PI33_gp042,PI33_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277746,PI33_gp043,PI33_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277747,PI33_gp044,PI33_gp044,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200909,-
1204523,22277748,PI33_gp045,PI33_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277749,PI33_gp046,PI33_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277750,PI33_gp047,PI33_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277751,PI33_gp048,PI33_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277752,PI33_gp049,PI33_gp049,-,-,-,-,helicase loader,protein-coding,-,-,-,helicase loader,20200926,-
1204523,22277753,PI33_gp050,PI33_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277754,PI33_gp051,PI33_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277755,PI33_gp052,PI33_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1204523,22277756,PI33_gp053,PI33_gp053,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
1204523,22277757,PI33_gp054,PI33_gp054,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
1204523,22277758,PI33_gp055,PI33_gp055,-,-,-,-,membrane-flanked domain protein,protein-coding,-,-,-,membrane-flanked domain protein,20210417,-
1204523,22277759,PI33_gp056,PI33_gp056,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20200909,-
1204523,22277760,PI33_gp057,PI33_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277761,PI33_gp058,PI33_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277762,PI33_gp059,PI33_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277763,PI33_gp060,PI33_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1204523,22277764,PI33_gp061,PI33_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277765,PI33_gp062,PI33_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277766,PI33_gp063,PI33_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1204523,22277767,PI33_gp064,PI33_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277768,PI33_gp065,PI33_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277769,PI33_gp066,PI33_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277770,PI33_gp067,PI33_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277771,PI33_gp068,PI33_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277772,PI33_gp069,PI33_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277773,PI33_gp070,PI33_gp070,-,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20200909,-
1204523,22277774,PI33_gp071,PI33_gp071,-,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20200909,-
1204523,22277775,PI33_gp072,PI33_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277776,PI33_gp073,PI33_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277777,PI33_gp074,PI33_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277778,PI33_gp075,PI33_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277779,PI33_gp076,PI33_gp076,-,-,-,-,phage tail fiber protein,protein-coding,-,-,-,phage tail fiber protein,20200909,-
1204523,22277780,PI33_gp077,PI33_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277781,PI33_gp078,PI33_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277782,PI33_gp079,PI33_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277783,PI33_gp080,PI33_gp080,-,-,-,-,phage lysis inhibitor,protein-coding,-,-,-,phage lysis inhibitor,20200909,-
1204523,22277784,PI33_gp081,PI33_gp081,-,-,-,-,rIIA,protein-coding,-,-,-,rIIA,20200909,-
1204523,22277785,PI33_gp082,PI33_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277786,PI33_gp083,PI33_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277787,PI33_gp084,PI33_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277788,PI33_gp085,PI33_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277789,PI33_gp086,PI33_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277790,PI33_gp087,PI33_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277791,PI33_gp088,PI33_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277792,PI33_gp089,PI33_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277793,PI33_gp090,PI33_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277794,PI33_gp091,PI33_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277795,PI33_gp092,PI33_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204523,22277796,PI33_gp093,PI33_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
