#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540092,24607681,CPT_Pascal2,CPT_Pascal2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1540092,24607682,CPT_Pascal3,CPT_Pascal3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607683,CPT_Pascal4,CPT_Pascal4,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1540092,24607684,CPT_Pascal5,CPT_Pascal5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607685,CPT_Pascal6,CPT_Pascal6,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1540092,24607686,CPT_Pascal7,CPT_Pascal7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607687,CPT_Pascal8,CPT_Pascal8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607688,CPT_Pascal9,CPT_Pascal9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607689,CPT_Pascal10,CPT_Pascal10,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1540092,24607690,CPT_Pascal11,CPT_Pascal11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607691,CPT_Pascal12,CPT_Pascal12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607692,CPT_Pascal13,CPT_Pascal13,-,-,-,-,tail spike protein,protein-coding,-,-,-,tail spike protein,20201221,-
1540092,24607693,CPT_Pascal14,CPT_Pascal14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607694,CPT_Pascal15,CPT_Pascal15,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1540092,24607695,CPT_Pascal16,CPT_Pascal16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607696,CPT_Pascal17,CPT_Pascal17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607697,CPT_Pascal18,CPT_Pascal18,-,-,-,-,lytic tail protein,protein-coding,-,-,-,lytic tail protein,20201221,-
1540092,24607698,CPT_Pascal19,CPT_Pascal19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607699,CPT_Pascal20,CPT_Pascal20,-,-,-,-,anitholin,protein-coding,-,-,-,anitholin,20201221,-
1540092,24607700,CPT_Pascal21,CPT_Pascal21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1540092,24607701,CPT_Pascal22,CPT_Pascal22,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1540092,24607702,CPT_Pascal23,CPT_Pascal23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540092,24607703,CPT_Pascal24,CPT_Pascal24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
