#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099624,40100984,2,FDJ42_gp02,PBI_GOLDEN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2099624,40100985,3,FDJ42_gp03,PBI_GOLDEN_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2099624,40100986,4,FDJ42_gp04,PBI_GOLDEN_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2099624,40100987,5,FDJ42_gp05,PBI_GOLDEN_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2099624,40100988,6,FDJ42_gp06,PBI_GOLDEN_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2099624,40100989,7,FDJ42_gp07,PBI_GOLDEN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40100990,8,FDJ42_gp08,PBI_GOLDEN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40100991,9,FDJ42_gp09,PBI_GOLDEN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40100992,10,FDJ42_gp10,PBI_GOLDEN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40100993,11,FDJ42_gp11,PBI_GOLDEN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40100994,12,FDJ42_gp12,PBI_GOLDEN_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40100995,13,FDJ42_gp13,PBI_GOLDEN_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099624,40100996,14,FDJ42_gp14,PBI_GOLDEN_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2099624,40100997,16,FDJ42_gp15,PBI_GOLDEN_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
