#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655021,25102441,SOLID_2,SOLID_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655021,25102442,SOLID_3,SOLID_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655021,25102443,SOLID_4,SOLID_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655021,25102444,SOLID_5,SOLID_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655021,25102445,SOLID_6,SOLID_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655021,25102446,SOLID_7,SOLID_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655021,25102447,SOLID_8,SOLID_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655021,25102448,SOLID_9,SOLID_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655021,25102449,SOLID_10,SOLID_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655021,25102450,SOLID_11,SOLID_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655021,25102451,SOLID_13,SOLID_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655021,25102452,SOLID_14,SOLID_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655021,25102453,SOLID_12,SOLID_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655021,25102454,SOLID_15,SOLID_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655021,25102455,SOLID_16,SOLID_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655021,25102456,SOLID_17,SOLID_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655021,25102457,SOLID_18,SOLID_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655021,25102458,SOLID_19,SOLID_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655021,25102459,SOLID_20,SOLID_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655021,25102460,SOLID_21,SOLID_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655021,25102461,SOLID_22,SOLID_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655021,25102462,SOLID_23,SOLID_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655021,25102463,SOLID_24,SOLID_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
