#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
148305,3974703,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Magnaporthe grisea).,other,-,-,-,-,20190318,-
148305,41955001,PgNI_00001,PgNI_00001,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955002,PgNI_00002,PgNI_00002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955003,PgNI_00003,PgNI_00003,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955004,PgNI_00004,PgNI_00004,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955005,PgNI_00005,PgNI_00005,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955006,PgNI_00006,PgNI_00006,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955007,PgNI_00007,PgNI_00007,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955008,PgNI_00008,PgNI_00008,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955009,PgNI_00009,PgNI_00009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955010,PgNI_00011,PgNI_00011,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955011,PgNI_00012,PgNI_00012,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955012,PgNI_00013,PgNI_00013,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955013,PgNI_00014,PgNI_00014,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955014,PgNI_00015,PgNI_00015,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955015,PgNI_00016,PgNI_00016,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955016,PgNI_00017,PgNI_00017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955017,PgNI_00018,PgNI_00018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955018,PgNI_00019,PgNI_00019,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955019,PgNI_00020,PgNI_00020,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955020,PgNI_00021,PgNI_00021,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955021,PgNI_00022,PgNI_00022,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955022,PgNI_00023,PgNI_00023,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955023,PgNI_00024,PgNI_00024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955024,PgNI_00025,PgNI_00025,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955025,PgNI_00027,PgNI_00027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955026,PgNI_00028,PgNI_00028,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
148305,41955027,PgNI_00029,PgNI_00029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955028,PgNI_00030,PgNI_00030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191009,-
148305,41955029,PgNI_00031,PgNI_00031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
148305,41955030,PgNI_00032,PgNI_00032,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
