#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2789810,62682055,JT345_gp02,JT345_gp02,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2789810,62682056,JT345_gp03,JT345_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682057,JT345_gp04,JT345_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682058,JT345_gp05,JT345_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682059,JT345_gp06,JT345_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2789810,62682060,JT345_gp07,JT345_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2789810,62682061,JT345_gp08,JT345_gp08,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210406,-
2789810,62682062,JT345_gp09,JT345_gp09,-,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210406,-
2789810,62682063,JT345_gp10,JT345_gp10,-,-,-,-,SNF2 domain-containing protein,protein-coding,-,-,-,SNF2 domain-containing protein,20210424,-
2789810,62682064,JT345_gp11,JT345_gp11,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210313,-
2789810,62682065,JT345_gp12,JT345_gp12,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2789810,62682066,JT345_gp13,JT345_gp13,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20210313,-
2789810,62682067,JT345_gp14,JT345_gp14,-,-,-,-,lambda family portal protein B,protein-coding,-,-,-,lambda family portal protein B,20210327,-
2789810,62682068,JT345_gp15,JT345_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2789810,62682069,JT345_gp16,JT345_gp16,-,-,-,-,decorator protein D,protein-coding,-,-,-,decorator protein D,20210417,-
2789810,62682070,JT345_gp17,JT345_gp17,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2789810,62682071,JT345_gp18,JT345_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682072,JT345_gp19,JT345_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682073,JT345_gp20,JT345_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682074,JT345_gp21,JT345_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682075,JT345_gp22,JT345_gp22,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210215,-
2789810,62682076,JT345_gp23,JT345_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682077,JT345_gp24,JT345_gp24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210215,-
2789810,62682078,JT345_gp25,JT345_gp25,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2789810,62682079,JT345_gp26,JT345_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682080,JT345_gp27,JT345_gp27,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210529,-
2789810,62682081,JT345_gp28,JT345_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682082,JT345_gp29,JT345_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682083,JT345_gp30,JT345_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2789810,62682084,JT345_gp31,JT345_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2789810,62682085,JT345_gp32,JT345_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682086,JT345_gp33,JT345_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682087,JT345_gp34,JT345_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682088,JT345_gp35,JT345_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682089,JT345_gp36,JT345_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682090,JT345_gp37,JT345_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682091,JT345_gp38,JT345_gp38,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210529,-
2789810,62682092,JT345_gp39,JT345_gp39,-,-,-,-,endolysin like protein,protein-coding,-,-,-,endolysin like protein,20210215,-
2789810,62682093,JT345_gp40,JT345_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682094,JT345_gp41,JT345_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682095,JT345_gp42,JT345_gp42,-,-,-,-,NinC protein,protein-coding,-,-,-,NinC protein,20210215,-
2789810,62682096,JT345_gp43,JT345_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682097,JT345_gp44,JT345_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682098,JT345_gp45,JT345_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682099,JT345_gp46,JT345_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682100,JT345_gp47,JT345_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682101,JT345_gp48,JT345_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682102,JT345_gp49,JT345_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2789810,62682103,JT345_gp50,JT345_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682104,JT345_gp51,JT345_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682105,JT345_gp52,JT345_gp52,-,-,-,-,N-6-adenine-methyltransferase,protein-coding,-,-,-,N-6-adenine-methyltransferase,20210424,-
2789810,62682106,JT345_gp53,JT345_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682107,JT345_gp54,JT345_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682108,JT345_gp55,JT345_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682109,JT345_gp56,JT345_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682110,JT345_gp57,JT345_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682111,JT345_gp58,JT345_gp58,-,-,-,-,recombination-associated protein,protein-coding,-,-,-,recombination-associated protein,20210424,-
2789810,62682112,JT345_gp59,JT345_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682113,JT345_gp60,JT345_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682114,JT345_gp61,JT345_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682115,JT345_gp62,JT345_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682116,JT345_gp63,JT345_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682117,JT345_gp64,JT345_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682118,JT345_gp65,JT345_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682119,JT345_gp66,JT345_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682120,JT345_gp67,JT345_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682121,JT345_gp68,JT345_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682122,JT345_gp69,JT345_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682123,JT345_gp70,JT345_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682124,JT345_gp71,JT345_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682125,JT345_gp72,JT345_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682126,JT345_gp73,JT345_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682127,JT345_gp74,JT345_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2789810,62682128,JT345_gp01,JT345_gp01,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
2789810,62755350,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210217,-
