#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838072,28801453,2,BH764_gp02,MCGONAGALL_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200912,-
1838072,28801454,3,BH764_gp03,MCGONAGALL_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801455,4,BH764_gp04,MCGONAGALL_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1838072,28801456,5,BH764_gp05,MCGONAGALL_5,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200629,-
1838072,28801457,6,BH764_gp06,MCGONAGALL_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801458,7,BH764_gp07,MCGONAGALL_7,-,-,-,capsid and capsid maturation protease,protein-coding,-,-,-,capsid and capsid maturation protease,20200629,-
1838072,28801459,8,BH764_gp08,MCGONAGALL_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801460,9,BH764_gp09,MCGONAGALL_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801461,10,BH764_gp10,MCGONAGALL_10,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1838072,28801462,11,BH764_gp11,MCGONAGALL_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801463,12,BH764_gp12,MCGONAGALL_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801464,13,BH764_gp13,MCGONAGALL_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801465,14,BH764_gp14,MCGONAGALL_14,-,-,-,TP901 familygtail tape measure protein,protein-coding,-,-,-,TP901 familygtail tape measure protein,20201221,-
1838072,28801466,15,BH764_gp15,MCGONAGALL_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1838072,28801467,16,BH764_gp16,MCGONAGALL_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1838072,28801468,17,BH764_gp17,MCGONAGALL_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1838072,28801469,18,BH764_gp18,MCGONAGALL_18,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20201221,-
1838072,28801470,19,BH764_gp19,MCGONAGALL_19,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200629,-
1838072,28801471,20,BH764_gp20,MCGONAGALL_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801472,21,BH764_gp21,MCGONAGALL_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801473,22,BH764_gp22,MCGONAGALL_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801474,23,BH764_gp23,MCGONAGALL_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801475,24,BH764_gp24,MCGONAGALL_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801476,25,BH764_gp25,MCGONAGALL_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,28801477,27,BH764_gp27,MCGONAGALL_27,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1838072,28801478,26,BH764_gp26,MCGONAGALL_26,-,-,-,DNA polymerase III subunit epsilon,protein-coding,-,-,-,DNA polymerase III subunit epsilon,20201221,-
1838072,28801479,1,BH764_gp01,MCGONAGALL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838072,29122378,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
