#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675609,26623869,AVT24_gp02,AVT24_gp02,CPT_Sushi2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1675609,26623870,AVT24_gp03,AVT24_gp03,CPT_Sushi3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1675609,26623871,AVT24_gp04,AVT24_gp04,CPT_Sushi4,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
1675609,26623872,AVT24_gp05,AVT24_gp05,CPT_Sushi5,-,-,-,major head subunit precursor,protein-coding,-,-,-,major head subunit precursor,20201221,-
1675609,26623873,AVT24_gp06,AVT24_gp06,CPT_Sushi6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623874,AVT24_gp07,AVT24_gp07,CPT_Sushi7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623875,AVT24_gp08,AVT24_gp08,CPT_Sushi8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623876,AVT24_gp09,AVT24_gp09,CPT_Sushi9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1675609,26623877,AVT24_gp10,AVT24_gp10,CPT_Sushi10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623878,AVT24_gp11,AVT24_gp11,CPT_Sushi11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675609,26623879,AVT24_gp12,AVT24_gp12,CPT_Sushi12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1675609,26623880,AVT24_gp13,AVT24_gp13,CPT_Sushi13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1675609,26623881,AVT24_gp14,AVT24_gp14,CPT_Sushi14,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20201221,-
1675609,26623882,AVT24_gp15,AVT24_gp15,CPT_Sushi15,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20201221,-
1675609,26623883,AVT24_gp16,AVT24_gp16,CPT_Sushi16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1675609,26623884,AVT24_gp17,AVT24_gp17,CPT_Sushi17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210327,-
1675609,26623885,AVT24_gp18,AVT24_gp18,CPT_Sushi18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675609,26623886,AVT24_gp19,AVT24_gp19,CPT_Sushi19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675609,26623887,AVT24_gp20,AVT24_gp20,CPT_Sushi20,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
