#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204533,14515999,G380_gp174,G380_gp174,-,-,-,-,putative Pectin lyase-like protein,protein-coding,-,-,-,putative Pectin lyase-like protein,20200909,-
1204533,14516000,G380_gp176,G380_gp176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516001,G380_gt004,G380_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1204533,14516002,G380_gp173,G380_gp173,-,-,-,-,putative poly-gamma-glutamate hydrolase,protein-coding,-,-,-,putative poly-gamma-glutamate hydrolase,20200909,-
1204533,14516003,G380_gp204,G380_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516004,G380_gp203,G380_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516005,G380_gp202,G380_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516006,G380_gp201,G380_gp201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516007,G380_gp200,G380_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516008,G380_gp199,G380_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516009,G380_gp198,G380_gp198,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1204533,14516010,G380_gp197,G380_gp197,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1204533,14516011,G380_gp196,G380_gp196,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1204533,14516012,G380_gp195,G380_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516013,G380_gp194,G380_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516014,G380_gp193,G380_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516015,G380_gp192,G380_gp192,-,-,-,-,putative N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,putative N-acetylmuramoyl-L-alanine amidase,20200909,-
1204533,14516016,G380_gp191,G380_gp191,-,-,-,-,putative PhoH family protein,protein-coding,-,-,-,putative PhoH family protein,20200909,-
1204533,14516017,G380_gp190,G380_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1204533,14516018,G380_gp189,G380_gp189,-,-,-,-,putative PcfJ protein,protein-coding,-,-,-,putative PcfJ protein,20200909,-
1204533,14516019,G380_gp188,G380_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
