#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1739967,26518027,SEA_CABRINIANS_2,SEA_CABRINIANS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1739967,26518028,SEA_CABRINIANS_3,SEA_CABRINIANS_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1739967,26518029,SEA_CABRINIANS_4,SEA_CABRINIANS_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1739967,26518030,SEA_CABRINIANS_5,SEA_CABRINIANS_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1739967,26518031,SEA_CABRINIANS_6,SEA_CABRINIANS_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1739967,26518032,SEA_CABRINIANS_7,SEA_CABRINIANS_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1739967,26518033,SEA_CABRINIANS_8,SEA_CABRINIANS_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1739967,26518034,SEA_CABRINIANS_9,SEA_CABRINIANS_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1739967,26518035,SEA_CABRINIANS_10,SEA_CABRINIANS_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1739967,26518036,SEA_CABRINIANS_11,SEA_CABRINIANS_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1739967,26518037,SEA_CABRINIANS_13,SEA_CABRINIANS_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1739967,26518038,SEA_CABRINIANS_14,SEA_CABRINIANS_14,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20210417,-
1739967,26518039,SEA_CABRINIANS_12,SEA_CABRINIANS_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1739967,26518040,SEA_CABRINIANS_15,SEA_CABRINIANS_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739967,26518041,SEA_CABRINIANS_16,SEA_CABRINIANS_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739967,26518042,SEA_CABRINIANS_17,SEA_CABRINIANS_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739967,26518043,SEA_CABRINIANS_18,SEA_CABRINIANS_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1739967,26518044,SEA_CABRINIANS_19,SEA_CABRINIANS_19,-,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20201221,-
1739967,26518045,SEA_CABRINIANS_20,SEA_CABRINIANS_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
1739967,26518046,SEA_CABRINIANS_21,SEA_CABRINIANS_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
