#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034140,40232397,2,FGG61_gp02,MICROWOLF_2,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200909,-
1034140,40232398,3,FGG61_gp03,MICROWOLF_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232399,4,FGG61_gp04,MICROWOLF_4,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200909,-
1034140,40232400,5,FGG61_gp05,MICROWOLF_5,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1034140,40232401,6,FGG61_gp06,MICROWOLF_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232402,7,FGG61_gt01,MICROWOLF_7,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034140,40232403,8,FGG61_gt02,MICROWOLF_8,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034140,40232404,9,FGG61_gt03,MICROWOLF_9,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1034140,40232405,10,FGG61_gp85,MICROWOLF_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232406,1,FGG61_gp01,MICROWOLF_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232407,11,FGG61_gp84,MICROWOLF_11,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210123,-
1034140,40232408,12,FGG61_gp83,MICROWOLF_12,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200909,-
1034140,40232409,13,FGG61_gp82,MICROWOLF_13,-,-,-,terminase,protein-coding,-,-,-,terminase,20200909,-
1034140,40232410,14,FGG61_gp81,MICROWOLF_14,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210212,-
1034140,40232411,15,FGG61_gp80,MICROWOLF_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232412,16,FGG61_gp79,MICROWOLF_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232413,17,FGG61_gp78,MICROWOLF_17,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
1034140,40232414,18,FGG61_gp77,MICROWOLF_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232415,19,FGG61_gp76,MICROWOLF_19,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200909,-
1034140,40232416,20,FGG61_gp75,MICROWOLF_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232417,21,FGG61_gp74,MICROWOLF_21,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200909,-
1034140,40232418,22,FGG61_gp73,MICROWOLF_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1034140,40232419,23,FGG61_gp72,MICROWOLF_23,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200909,-
1034140,40232420,24,FGG61_gp71,MICROWOLF_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200909,-
1034140,40232421,26,FGG61_gp70,MICROWOLF_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200912,-
1034140,40232422,27,FGG61_gp68,MICROWOLF_27,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200909,-
1034140,40232423,25,FGG61_gp69,MICROWOLF_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200912,-
1034140,40232424,28,FGG61_gp67,MICROWOLF_28,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1034140,40232425,29,FGG61_gp66,MICROWOLF_29,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1034140,40232426,30,FGG61_gp65,MICROWOLF_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232427,31,FGG61_gp64,MICROWOLF_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232428,32,FGG61_gp63,MICROWOLF_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034140,40232429,33,FGG61_gp62,MICROWOLF_33,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1034140,40232430,34,FGG61_gp61,MICROWOLF_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
