#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1429912,17775989,3,X816_gp03,JOVO_3,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200622,-
1429912,17775990,4,X816_gp04,JOVO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17775991,5,X816_gp05,JOVO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17775992,6,X816_gt01,JOVO_6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1429912,17775993,7,X816_gp84,JOVO_7,-,-,-,LysA,protein-coding,-,-,-,LysA,20200622,-
1429912,17775994,8,X816_gp83,JOVO_8,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201026,-
1429912,17775995,9,X816_gp82,JOVO_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200622,-
1429912,17775996,10,X816_gp81,JOVO_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200622,-
1429912,17775997,11,X816_gp80,JOVO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17775998,12,X816_gp79,JOVO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17775999,13,X816_gp78,JOVO_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200622,-
1429912,17776000,14,X816_gp77,JOVO_14,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200622,-
1429912,17776001,15,X816_gp76,JOVO_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776002,16,X816_gp75,JOVO_16,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200622,-
1429912,17776003,17,X816_gp74,JOVO_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429912,17776004,18,X816_gp73,JOVO_18,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200622,-
1429912,17776005,19,X816_gp72,JOVO_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200622,-
