#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296661,26646066,AVV45_gp02,AVV45_gp02,ABOUO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1296661,26646067,AVV45_gp03,AVV45_gp03,ABOUO_3,-,-,-,"portal protein, SPP1 family",protein-coding,-,-,-,"portal protein, SPP1 family",20200629,-
1296661,26646068,AVV45_gp04,AVV45_gp04,ABOUO_4,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1296661,26646069,AVV45_gp05,AVV45_gp05,ABOUO_5,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20200629,-
1296661,26646070,AVV45_gp06,AVV45_gp06,ABOUO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646071,AVV45_gp07,AVV45_gp07,ABOUO_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1296661,26646072,AVV45_gp08,AVV45_gp08,ABOUO_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646073,AVV45_gp09,AVV45_gp09,ABOUO_9,-,-,-,putative DNA packaging protein,protein-coding,-,-,-,putative DNA packaging protein,20200629,-
1296661,26646074,AVV45_gp10,AVV45_gp10,ABOUO_10,-,-,-,head/tail joining protein,protein-coding,-,-,-,head/tail joining protein,20200629,-
1296661,26646075,AVV45_gp11,AVV45_gp11,ABOUO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646076,AVV45_gp12,AVV45_gp12,ABOUO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646077,AVV45_gp13,AVV45_gp13,ABOUO_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646078,AVV45_gp14,AVV45_gp14,ABOUO_14,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1296661,26646079,AVV45_gp15,AVV45_gp15,ABOUO_15,-,-,-,core tail protein,protein-coding,-,-,-,core tail protein,20200629,-
1296661,26646080,AVV45_gp16,AVV45_gp16,ABOUO_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646081,AVV45_gp17,AVV45_gp17,ABOUO_17,-,-,-,phage XkdN-like protein,protein-coding,-,-,-,phage XkdN-like protein,20200629,-
1296661,26646082,AVV45_gp18,AVV45_gp18,ABOUO_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646083,AVV45_gp19,AVV45_gp19,ABOUO_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646084,AVV45_gp20,AVV45_gp20,ABOUO_20,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20200629,-
1296661,26646085,AVV45_gp21,AVV45_gp21,ABOUO_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646086,AVV45_gp22,AVV45_gp22,ABOUO_22,-,-,-,LysM domain-containing protein,protein-coding,-,-,-,LysM domain-containing protein,20200629,-
1296661,26646087,AVV45_gp23,AVV45_gp23,ABOUO_23,-,-,-,late control D protein,protein-coding,-,-,-,late control D protein,20200629,-
1296661,26646088,AVV45_gp24,AVV45_gp24,ABOUO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646089,AVV45_gp25,AVV45_gp25,ABOUO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646090,AVV45_gp26,AVV45_gp26,ABOUO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646091,AVV45_gp27,AVV45_gp27,ABOUO_27,-,-,-,baseplate J family protein,protein-coding,-,-,-,baseplate J family protein,20200629,-
1296661,26646092,AVV45_gp28,AVV45_gp28,ABOUO_28,-,-,-,phage-like element PBSX protein,protein-coding,-,-,-,phage-like element PBSX protein,20200629,-
1296661,26646093,AVV45_gp29,AVV45_gp29,ABOUO_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646094,AVV45_gp30,AVV45_gp30,ABOUO_30,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1296661,26646095,AVV45_gp31,AVV45_gp31,ABOUO_31,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1296661,26646096,AVV45_gp32,AVV45_gp32,ABOUO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646097,AVV45_gp33,AVV45_gp33,ABOUO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646098,AVV45_gp34,AVV45_gp34,ABOUO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646099,AVV45_gp35,AVV45_gp35,ABOUO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646100,AVV45_gp36,AVV45_gp36,ABOUO_36,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosamidase protein,protein-coding,-,-,-,mannosyl-glycoprotein endo-beta-N-acetylglucosamidase protein,20200629,-
1296661,26646101,AVV45_gp37,AVV45_gp37,ABOUO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646102,AVV45_gp38,AVV45_gp38,ABOUO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646103,AVV45_gp39,AVV45_gp39,ABOUO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646104,AVV45_gp40,AVV45_gp40,ABOUO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646105,AVV45_gp41,AVV45_gp41,ABOUO_41,-,-,-,prophage antirepressor,protein-coding,-,-,-,prophage antirepressor,20200629,-
1296661,26646106,AVV45_gp42,AVV45_gp42,ABOUO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646107,AVV45_gp43,AVV45_gp43,ABOUO_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1296661,26646108,AVV45_gp44,AVV45_gp44,ABOUO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646109,AVV45_gp45,AVV45_gp45,ABOUO_45,-,-,-,accessory gene regulator B protein,protein-coding,-,-,-,accessory gene regulator B protein,20200629,-
1296661,26646110,AVV45_gp46,AVV45_gp46,ABOUO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646111,AVV45_gp47,AVV45_gp47,ABOUO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646112,AVV45_gp48,AVV45_gp48,ABOUO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646113,AVV45_gp49,AVV45_gp49,ABOUO_49,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296661,26646114,AVV45_gp50,AVV45_gp50,ABOUO_50,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1296661,26646115,AVV45_gp51,AVV45_gp51,ABOUO_51,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1296661,26646116,AVV45_gp52,AVV45_gp52,ABOUO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646117,AVV45_gp53,AVV45_gp53,ABOUO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646118,AVV45_gp54,AVV45_gp54,ABOUO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646119,AVV45_gp55,AVV45_gp55,ABOUO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646120,AVV45_gp56,AVV45_gp56,ABOUO_56,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1296661,26646121,AVV45_gp57,AVV45_gp57,ABOUO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646122,AVV45_gp58,AVV45_gp58,ABOUO_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646123,AVV45_gp59,AVV45_gp59,ABOUO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646124,AVV45_gp60,AVV45_gp60,ABOUO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646125,AVV45_gp61,AVV45_gp61,ABOUO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646126,AVV45_gp62,AVV45_gp62,ABOUO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646127,AVV45_gp63,AVV45_gp63,ABOUO_63,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20200629,-
1296661,26646128,AVV45_gp64,AVV45_gp64,ABOUO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296661,26646129,AVV45_gp65,AVV45_gp65,ABOUO_65,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200629,-
1296661,26646130,AVV45_gp66,AVV45_gp66,ABOUO_66,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20200629,-
1296661,26646131,AVV45_gp67,AVV45_gp67,ABOUO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
