#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1932890,54978941,HOR54_gp02,HOR54_gp02,QD07_2,-,-,-,fiber protein,protein-coding,-,-,-,fiber protein,20210212,-
1932890,54978942,HOR54_gp03,HOR54_gp03,QD07_3,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1932890,54978943,HOR54_gp04,HOR54_gp04,QD07_4,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201221,-
1932890,54978944,HOR54_gp05,HOR54_gp05,QD07_5,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20210212,-
1932890,54978945,HOR54_gp06,HOR54_gp06,QD07_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978946,HOR54_gp07,HOR54_gp07,QD07_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978947,HOR54_gp08,HOR54_gp08,QD07_8,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210212,-
1932890,54978948,HOR54_gp09,HOR54_gp09,QD07_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978949,HOR54_gp10,HOR54_gp10,QD07_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978950,HOR54_gp11,HOR54_gp11,QD07_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978951,HOR54_gp12,HOR54_gp12,QD07_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978952,HOR54_gp13,HOR54_gp13,QD07_13,-,-,-,caskin-2/caskin-1,protein-coding,-,-,-,caskin-2/caskin-1,20201221,-
1932890,54978953,HOR54_gp14,HOR54_gp14,QD07_14,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20210212,-
1932890,54978954,HOR54_gp15,HOR54_gp15,QD07_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978955,HOR54_gp16,HOR54_gp16,QD07_16,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20210212,-
1932890,54978956,HOR54_gp17,HOR54_gp17,QD07_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978957,HOR54_gp18,HOR54_gp18,QD07_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978958,HOR54_gp19,HOR54_gp19,QD07_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978959,HOR54_gp20,HOR54_gp20,QD07_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978960,HOR54_gp21,HOR54_gp21,QD07_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978961,HOR54_gp22,HOR54_gp22,QD07_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978962,HOR54_gp23,HOR54_gp23,QD07_23,-,-,-,hydrolase/topoisomerase-primase,protein-coding,-,-,-,hydrolase/topoisomerase-primase,20210212,-
1932890,54978963,HOR54_gp24,HOR54_gp24,QD07_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978964,HOR54_gp25,HOR54_gp25,QD07_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978965,HOR54_gp26,HOR54_gp26,QD07_26,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210212,-
1932890,54978966,HOR54_gp27,HOR54_gp27,QD07_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978967,HOR54_gp28,HOR54_gp28,QD07_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978968,HOR54_gp29,HOR54_gp29,QD07_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1932890,54978969,HOR54_gp30,HOR54_gp30,QD07_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978970,HOR54_gp31,HOR54_gp31,QD07_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978971,HOR54_gp32,HOR54_gp32,QD07_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978972,HOR54_gp33,HOR54_gp33,QD07_33,-,-,-,PIN domain protein,protein-coding,-,-,-,PIN domain protein,20201221,-
1932890,54978973,HOR54_gp34,HOR54_gp34,QD07_34,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20210212,-
1932890,54978974,HOR54_gp35,HOR54_gp35,QD07_35,-,-,-,calcineurin-like phosphoesterase,protein-coding,-,-,-,calcineurin-like phosphoesterase,20210212,-
1932890,54978975,HOR54_gp36,HOR54_gp36,QD07_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978976,HOR54_gp37,HOR54_gp37,QD07_37,-,-,-,phosphomevalonate kinase,protein-coding,-,-,-,phosphomevalonate kinase,20201221,-
1932890,54978977,HOR54_gp38,HOR54_gp38,QD07_38,-,-,-,adenylation DNA ligase-like protein,protein-coding,-,-,-,adenylation DNA ligase-like protein,20210212,-
1932890,54978978,HOR54_gp39,HOR54_gp39,QD07_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978979,HOR54_gp40,HOR54_gp40,QD07_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978980,HOR54_gp41,HOR54_gp41,QD07_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
1932890,54978981,HOR54_gp42,HOR54_gp42,QD07_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978982,HOR54_gp43,HOR54_gp43,QD07_43,-,-,-,head to tail connecting protein,protein-coding,-,-,-,head to tail connecting protein,20210212,-
1932890,54978983,HOR54_gp44,HOR54_gp44,QD07_44,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210212,-
1932890,54978984,HOR54_gp45,HOR54_gp45,QD07_45,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1932890,54978985,HOR54_gp46,HOR54_gp46,QD07_46,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210212,-
1932890,54978986,HOR54_gp47,HOR54_gp47,QD07_47,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1932890,54978987,HOR54_gp48,HOR54_gp48,QD07_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978988,HOR54_gp49,HOR54_gp49,QD07_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1932890,54978989,HOR54_gp01,HOR54_gp01,QD07_1,-,-,-,viron protein,protein-coding,-,-,-,viron protein,20210212,-
1932890,55153403,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
