#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2201430,54993521,2,HOT44_gp02,PBI_SUZY_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2201430,54993522,3,HOT44_gp03,PBI_SUZY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993523,4,HOT44_gp04,PBI_SUZY_4,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210129,-
2201430,54993524,5,HOT44_gp05,PBI_SUZY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993525,6,HOT44_gp06,PBI_SUZY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993526,7,HOT44_gp07,PBI_SUZY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993527,8,HOT44_gp08,PBI_SUZY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993528,9,HOT44_gp09,PBI_SUZY_9,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210129,-
2201430,54993529,10,HOT44_gp10,PBI_SUZY_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993530,11,HOT44_gp11,PBI_SUZY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993531,12,HOT44_gp12,PBI_SUZY_12,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2201430,54993532,13,HOT44_gp13,PBI_SUZY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993533,14,HOT44_gp14,PBI_SUZY_14,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2201430,54993534,15,HOT44_gp15,PBI_SUZY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201430,54993535,16,HOT44_gp16,PBI_SUZY_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
