#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315468,55004497,HOU31_gp45,HOU31_gp45,Aci07_45,-,-,-,putative capsular polysaccharide depolymerase,protein-coding,-,-,-,putative capsular polysaccharide depolymerase,20201221,-
2315468,55004498,HOU31_gp44,HOU31_gp44,Aci07_44,-,-,-,putative internal virion protein C,protein-coding,-,-,-,putative internal virion protein C,20210403,-
2315468,55004499,HOU31_gp33,HOU31_gp33,Aci07_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004500,HOU31_gp25,HOU31_gp25,Aci07_25,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210403,-
2315468,55004501,HOU31_gp42,HOU31_gp42,Aci07_42,-,-,-,putative internal virion protein A,protein-coding,-,-,-,putative internal virion protein A,20201221,-
2315468,55004502,HOU31_gp46,HOU31_gp46,Aci07_46,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
2315468,55004503,HOU31_gp50,HOU31_gp50,Aci07_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004504,HOU31_gp36,HOU31_gp36,Aci07_36,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20210403,-
2315468,55004505,HOU31_gp21,HOU31_gp21,Aci07_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004506,HOU31_gp38,HOU31_gp38,Aci07_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004507,HOU31_gp23,HOU31_gp23,Aci07_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315468,55004508,HOU31_gp28,HOU31_gp28,Aci07_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004509,HOU31_gp31,HOU31_gp31,Aci07_31,-,-,-,putative dNMP kinase,protein-coding,-,-,-,putative dNMP kinase,20210403,-
2315468,55004510,HOU31_gp27,HOU31_gp27,Aci07_27,-,-,-,putative 5'-3' exonuclease,protein-coding,-,-,-,putative 5'-3' exonuclease,20210403,-
2315468,55004511,HOU31_gp37,HOU31_gp37,Aci07_37,-,-,-,putative capsid and scaffold protein,protein-coding,-,-,-,putative capsid and scaffold protein,20210403,-
2315468,55004512,HOU31_gp18,HOU31_gp18,Aci07_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004513,HOU31_gp22,HOU31_gp22,Aci07_22,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20210403,-
2315468,55004514,HOU31_gp43,HOU31_gp43,Aci07_43,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20201221,-
2315468,55004515,HOU31_gp32,HOU31_gp32,Aci07_32,-,-,-,putative RNA polymerase,protein-coding,-,-,-,putative RNA polymerase,20210403,-
2315468,55004516,HOU31_gp29,HOU31_gp29,Aci07_29,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210403,-
2315468,55004517,HOU31_gp07,HOU31_gp07,Aci07_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004518,HOU31_gp41,HOU31_gp41,Aci07_41,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20201221,-
2315468,55004519,HOU31_gp48,HOU31_gp48,Aci07_48,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20210403,-
2315468,55004520,HOU31_gp05,HOU31_gp05,Aci07_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004521,HOU31_gp11,HOU31_gp11,Aci07_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004522,HOU31_gp26,HOU31_gp26,Aci07_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315468,55004523,HOU31_gp04,HOU31_gp04,Aci07_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004524,HOU31_gp30,HOU31_gp30,Aci07_30,-,-,-,putative phosphoestherase,protein-coding,-,-,-,putative phosphoestherase,20210403,-
2315468,55004525,HOU31_gp24,HOU31_gp24,Aci07_24,-,-,-,putative DNA polymerase I,protein-coding,-,-,-,putative DNA polymerase I,20210403,-
2315468,55004526,HOU31_gp12,HOU31_gp12,Aci07_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004527,HOU31_gp17,HOU31_gp17,Aci07_17,-,-,-,putative DNA primase/helicase,protein-coding,-,-,-,putative DNA primase/helicase,20210403,-
2315468,55004528,HOU31_gp10,HOU31_gp10,Aci07_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004529,HOU31_gp06,HOU31_gp06,Aci07_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004530,HOU31_gp47,HOU31_gp47,Aci07_47,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210403,-
2315468,55004531,HOU31_gp19,HOU31_gp19,Aci07_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004532,HOU31_gp49,HOU31_gp49,Aci07_49,-,-,-,putative DNA maturase B,protein-coding,-,-,-,putative DNA maturase B,20210403,-
2315468,55004533,HOU31_gp35,HOU31_gp35,Aci07_35,-,-,-,putative head-tail connector protein,protein-coding,-,-,-,putative head-tail connector protein,20210403,-
2315468,55004534,HOU31_gp15,HOU31_gp15,Aci07_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004535,HOU31_gp20,HOU31_gp20,Aci07_20,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
2315468,55004536,HOU31_gp40,HOU31_gp40,Aci07_40,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20210403,-
2315468,55004537,HOU31_gp16,HOU31_gp16,Aci07_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315468,55004538,HOU31_gp02,HOU31_gp02,Aci07_02,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004539,HOU31_gp52,HOU31_gp52,Aci07_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004540,HOU31_gp34,HOU31_gp34,Aci07_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004541,HOU31_gp39,HOU31_gp39,Aci07_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004542,HOU31_gp09,HOU31_gp09,Aci07_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004543,HOU31_gp14,HOU31_gp14,Aci07_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004544,HOU31_gp13,HOU31_gp13,Aci07_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004545,HOU31_gp03,HOU31_gp03,Aci07_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315468,55004546,HOU31_gp51,HOU31_gp51,Aci07_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
