#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074307,18562436,3,LINSTU_3,-,-,-,-,NrdC,protein-coding,-,-,-,NrdC,20200909,-
1074307,18562437,4,LINSTU_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562438,5,LINSTU_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562439,7,LINSTU_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562440,8,LINSTU_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562441,9,LINSTU_9,-,-,-,-,band 7 protein,protein-coding,-,-,-,band 7 protein,20200909,-
1074307,18562442,10,LINSTU_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562443,11,LINSTU_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562444,12,LINSTU_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562445,13,LINSTU_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562446,14,LINSTU_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562447,15,LINSTU_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562448,16,LINSTU_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562449,17,LINSTU_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562450,18,LINSTU_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562451,19,LINSTU_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562452,20,LINSTU_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562453,21,LINSTU_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562454,22,LINSTU_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562455,23,LINSTU_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562456,24,LINSTU_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562457,25,LINSTU_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562458,26,LINSTU_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562459,27,LINSTU_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562460,28,LINSTU_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562461,29,LINSTU_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
1074307,18562462,30,LINSTU_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562463,31,LINSTU_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562464,32,LINSTU_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562465,33,LINSTU_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562466,35,LINSTU_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562467,36,LINSTU_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562468,37,LINSTU_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562469,38,LINSTU_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562470,39,LINSTU_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562471,40,LINSTU_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
1074307,18562472,41,LINSTU_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562473,42,LINSTU_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562474,43,LINSTU_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562475,44,LINSTU_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562476,45,LINSTU_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562477,47,LINSTU_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562478,48,LINSTU_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562479,49,LINSTU_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562480,50,LINSTU_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562481,51,LINSTU_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562482,52,LINSTU_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562483,53,LINSTU_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562484,54,LINSTU_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562485,55,LINSTU_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562486,56,LINSTU_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562487,57,LINSTU_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562488,58,LINSTU_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562489,59,LINSTU_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562490,60,LINSTU_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562491,61,LINSTU_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562492,62,LINSTU_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562493,63,LINSTU_63,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20200909,-
1074307,18562494,64,LINSTU_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1074307,18562495,65,LINSTU_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562496,66,LINSTU_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562497,67,LINSTU_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562498,68,LINSTU_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562499,69,LINSTU_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562500,70,LINSTU_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562501,71,LINSTU_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562502,72,LINSTU_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562503,73,LINSTU_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562504,74,LINSTU_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562505,75,LINSTU_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562506,76,LINSTU_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562507,77,LINSTU_77,-,-,-,-,L13E family domain protein,protein-coding,-,-,-,L13E family domain protein,20200909,-
1074307,18562508,78,LINSTU_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562509,79,LINSTU_79,-,-,-,-,TatC,protein-coding,-,-,-,TatC,20210417,-
1074307,18562510,80,LINSTU_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562511,81,LINSTU_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562512,82,LINSTU_82,-,-,-,-,ParB,protein-coding,-,-,-,ParB,20200909,-
1074307,18562513,83,LINSTU_83,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562514,84,LINSTU_84,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562515,87,LINSTU_87,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1074307,18562516,88,LINSTU_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562517,89,LINSTU_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562518,90,LINSTU_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562519,91,LINSTU_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562520,92,LINSTU_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562521,93,LINSTU_93,-,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20210424,-
1074307,18562522,94,LINSTU_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562523,95,LINSTU_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562524,96,LINSTU_96,-,-,-,-,LysM domain,protein-coding,-,-,-,LysM domain,20200909,-
1074307,18562525,97,LINSTU_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562526,98,LINSTU_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562527,99,LINSTU_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562528,100,LINSTU_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562529,101,LINSTU_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562530,102,LINSTU_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562531,103,LINSTU_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1074307,18562532,104,LINSTU_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562533,105,LINSTU_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562534,106,LINSTU_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562535,107,LINSTU_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1074307,18562536,108,LINSTU_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562537,109,LINSTU_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1074307,18562538,110,LINSTU_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
