#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079581,40099822,3,FDJ34_gp03,PBI_ELERI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
2079581,40099823,4,FDJ34_gp04,PBI_ELERI_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2079581,40099824,5,FDJ34_gp05,PBI_ELERI_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2079581,40099825,6,FDJ34_gp06,PBI_ELERI_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2079581,40099826,7,FDJ34_gp07,PBI_ELERI_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099827,8,FDJ34_gp08,PBI_ELERI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099828,9,FDJ34_gp09,PBI_ELERI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099829,10,FDJ34_gp10,PBI_ELERI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099830,11,FDJ34_gp11,PBI_ELERI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099831,12,FDJ34_gp12,PBI_ELERI_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099832,13,FDJ34_gp13,PBI_ELERI_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2079581,40099833,14,FDJ34_gp14,PBI_ELERI_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2079581,40099834,15,FDJ34_gp15,PBI_ELERI_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2079581,40099835,16,FDJ34_gp16,PBI_ELERI_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2079581,40099836,17,FDJ34_gp17,PBI_ELERI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079581,40099837,18,FDJ34_gp18,PBI_ELERI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2079581,40099838,19,FDJ34_gp19,PBI_ELERI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099839,20,FDJ34_gp20,PBI_ELERI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099840,21,FDJ34_gp21,PBI_ELERI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099841,22,FDJ34_gp22,PBI_ELERI_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2079581,40099842,23,FDJ34_gp23,PBI_ELERI_23,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2079581,40099843,24,FDJ34_gp24,PBI_ELERI_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2079581,40099844,25,FDJ34_gp25,PBI_ELERI_25,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2079581,40099845,26,FDJ34_gp26,PBI_ELERI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099846,27,FDJ34_gp27,PBI_ELERI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099847,28,FDJ34_gp28,PBI_ELERI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099848,29,FDJ34_gp29,PBI_ELERI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099849,30,FDJ34_gp30,PBI_ELERI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099850,31,FDJ34_gp31,PBI_ELERI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099851,32,FDJ34_gp32,PBI_ELERI_32,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20201221,-
2079581,40099852,33,FDJ34_gp33,PBI_ELERI_33,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210424,-
2079581,40099853,34,FDJ34_gp34,PBI_ELERI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099854,35,FDJ34_gp35,PBI_ELERI_35,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2079581,40099855,36,FDJ34_gp36,PBI_ELERI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099856,37,FDJ34_gp37,PBI_ELERI_37,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2079581,40099857,38,FDJ34_gp38,PBI_ELERI_38,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
2079581,40099858,39,FDJ34_gp39,PBI_ELERI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099859,40,FDJ34_gp40,PBI_ELERI_40,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2079581,40099860,41,FDJ34_gp41,PBI_ELERI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099861,42,FDJ34_gp42,PBI_ELERI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099862,43,FDJ34_gp43,PBI_ELERI_43,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
2079581,40099863,44,FDJ34_gp44,PBI_ELERI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099864,45,FDJ34_gp45,PBI_ELERI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099865,46,FDJ34_gp46,PBI_ELERI_46,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
2079581,40099866,47,FDJ34_gp47,PBI_ELERI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099867,48,FDJ34_gp48,PBI_ELERI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099868,49,FDJ34_gp49,PBI_ELERI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099869,50,FDJ34_gp50,PBI_ELERI_50,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
2079581,40099870,51,FDJ34_gp51,PBI_ELERI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099871,52,FDJ34_gp52,PBI_ELERI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099872,53,FDJ34_gp53,PBI_ELERI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099873,54,FDJ34_gp54,PBI_ELERI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099874,55,FDJ34_gp55,PBI_ELERI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099875,56,FDJ34_gp56,PBI_ELERI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099876,57,FDJ34_gp57,PBI_ELERI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099877,58,FDJ34_gp58,PBI_ELERI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099878,59,FDJ34_gp59,PBI_ELERI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099879,60,FDJ34_gp60,PBI_ELERI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099880,61,FDJ34_gp61,PBI_ELERI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099881,62,FDJ34_gp62,PBI_ELERI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099882,63,FDJ34_gp63,PBI_ELERI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40099883,2,FDJ34_gp02,PBI_ELERI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2079581,40099884,1,FDJ34_gp01,PBI_ELERI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079581,40120556,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
