#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
673837,8676470,gp02,EP-phiFL3A_gp02,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20201220,-
673837,8676471,gp03,EP-phiFL3A_gp03,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
673837,8676472,gp04,EP-phiFL3A_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676473,gp05,EP-phiFL3A_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676474,gp06,EP-phiFL3A_gp06,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
673837,8676475,gp07,EP-phiFL3A_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676476,gp08,EP-phiFL3A_gp08,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20201220,-
673837,8676477,gp09,EP-phiFL3A_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676478,gp10,EP-phiFL3A_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676479,gp11,EP-phiFL3A_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
673837,8676480,gp12,EP-phiFL3A_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676481,gp13,EP-phiFL3A_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676482,gp14,EP-phiFL3A_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676483,gp15,EP-phiFL3A_gp15,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
673837,8676484,gp16,EP-phiFL3A_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676485,gp17,EP-phiFL3A_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676486,gp18,EP-phiFL3A_gp18,-,-,-,-,endonuclease YqaJ superfamily,protein-coding,-,-,-,endonuclease YqaJ superfamily,20200629,-
673837,8676487,gp19,EP-phiFL3A_gp19,-,-,-,-,RecT family protein,protein-coding,-,-,-,RecT family protein,20200629,-
673837,8676488,gp20,EP-phiFL3A_gp20,-,-,-,-,DUF4373 domain-containing protein,protein-coding,-,-,-,DUF4373 domain-containing protein,20210123,-
673837,8676489,gp21,EP-phiFL3A_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
673837,8676490,gp22,EP-phiFL3A_gp22,-,-,-,-,ArpR DNA binding protein,protein-coding,-,-,-,ArpR DNA binding protein,20200629,-
673837,8676491,gp23,EP-phiFL3A_gp23,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200629,-
673837,8676492,gp24,EP-phiFL3A_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
