#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
550478,22158026,ND1,-,-,-,I|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20150626,-
550478,22158027,ND2,-,-,-,I|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20160910,-
550478,22158028,ND5,-,-,-,I|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20160910,-
550478,22158029,ND6,-,-,-,I|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20150626,-
550478,22158030,ND3,-,-,-,I|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20160910,-
550478,22158031,CYTB,-,-,-,I|MT,-,cytochrome b,protein-coding,-,-,-,-,20160910,-
550478,22158032,COX3,-,-,-,I|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20160910,-
550478,22158033,ATP6,-,-,-,I|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20150626,-
550478,22158034,COX2,-,-,-,I|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20160910,-
550478,22158035,ND4,-,-,-,I|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20160910,-
550478,22158036,CYTB,-,-,-,I|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158037,COX2,-,-,-,I|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158038,COX1,-,-,-,I|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158039,COX1,-,-,-,I|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20160910,-
550478,22158041,COX1,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158042,COX2,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158043,COX1,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158044,ND5,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158045,ATP6,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158046,ATP6,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158047,CYTB,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158048,CYTB,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158049,ND4,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158050,COX3,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158051,ND2,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158052,CYTB,-,-,-,II|MT,-,pseudo,pseudo,-,-,-,-,20141115,-
550478,22158053,ATP8,-,-,-,II|MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20150626,-
