#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647471,28800914,BH787_gp02,BH787_gp02,GMA4_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200910,-
1647471,28800915,BH787_gp03,BH787_gp03,GMA4_3,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200910,-
1647471,28800916,BH787_gp04,BH787_gp04,GMA4_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800917,BH787_gt01,BH787_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1647471,28800918,BH787_gp67,BH787_gp67,GMA4_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800919,BH787_gp66,BH787_gp66,GMA4_7,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1647471,28800920,BH787_gp65,BH787_gp65,GMA4_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800921,BH787_gp64,BH787_gp64,GMA4_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800922,BH787_gp63,BH787_gp63,GMA4_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800923,BH787_gp62,BH787_gp62,GMA4_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800924,BH787_gp61,BH787_gp61,GMA4_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800925,BH787_gp60,BH787_gp60,GMA4_13,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200910,-
1647471,28800926,BH787_gp58,BH787_gp58,GMA4_15,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200910,-
1647471,28800927,BH787_gp57,BH787_gp57,GMA4_16,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200910,-
1647471,28800928,BH787_gp59,BH787_gp59,GMA4_14,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200910,-
1647471,28800929,BH787_gp56,BH787_gp56,GMA4_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800930,BH787_gp55,BH787_gp55,GMA4_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800931,BH787_gp54,BH787_gp54,GMA4_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647471,28800932,BH787_gp53,BH787_gp53,GMA4_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
