#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2547246,55012437,HOV29_gp02,HOV29_gp02,CPT_Minorna_002,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210403,-
2547246,55012438,HOV29_gp03,HOV29_gp03,CPT_Minorna_003,-,-,-,holin,protein-coding,-,-,-,holin,20201222,-
2547246,55012439,HOV29_gp04,HOV29_gp04,CPT_Minorna_004,-,-,-,unimolecular spanin,protein-coding,-,-,-,unimolecular spanin,20210403,-
2547246,55012440,HOV29_gp05,HOV29_gp05,CPT_Minorna_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012441,HOV29_gp06,HOV29_gp06,CPT_Minorna_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012442,HOV29_gp07,HOV29_gp07,CPT_Minorna_007,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2547246,55012443,HOV29_gp08,HOV29_gp08,CPT_Minorna_008,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2547246,55012444,HOV29_gp09,HOV29_gp09,CPT_Minorna_009,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210403,-
2547246,55012445,HOV29_gp10,HOV29_gp10,CPT_Minorna_010,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210403,-
2547246,55012446,HOV29_gp11,HOV29_gp11,CPT_Minorna_011,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2547246,55012447,HOV29_gp12,HOV29_gp12,CPT_Minorna_012,-,-,-,internal core protein,protein-coding,-,-,-,internal core protein,20210403,-
2547246,55012448,HOV29_gp13,HOV29_gp13,CPT_Minorna_013,-,-,-,putative internal core protein,protein-coding,-,-,-,putative internal core protein,20201222,-
2547246,55012449,HOV29_gp14,HOV29_gp14,CPT_Minorna_014,-,-,-,putative internal core protein,protein-coding,-,-,-,putative internal core protein,20201222,-
2547246,55012450,HOV29_gp15,HOV29_gp15,CPT_Minorna_015,-,-,-,tail tubular protein,protein-coding,-,-,-,tail tubular protein,20210403,-
2547246,55012451,HOV29_gp16,HOV29_gp16,CPT_Minorna_016,-,-,-,tail tubular protein,protein-coding,-,-,-,tail tubular protein,20210403,-
2547246,55012452,HOV29_gp17,HOV29_gp17,CPT_Minorna_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012453,HOV29_gp18,HOV29_gp18,CPT_Minorna_018,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2547246,55012454,HOV29_gp19,HOV29_gp19,CPT_Minorna_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2547246,55012455,HOV29_gp20,HOV29_gp20,CPT_Minorna_020,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2547246,55012456,HOV29_gp21,HOV29_gp21,CPT_Minorna_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012457,HOV29_gp22,HOV29_gp22,CPT_Minorna_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012458,HOV29_gp23,HOV29_gp23,CPT_Minorna_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2547246,55012459,HOV29_gp24,HOV29_gp24,CPT_Minorna_024,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210403,-
2547246,55012460,HOV29_gp25,HOV29_gp25,CPT_Minorna_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2547246,55012461,HOV29_gp26,HOV29_gp26,CPT_Minorna_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2547246,55012462,HOV29_gp27,HOV29_gp27,CPT_Minorna_027,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210403,-
2547246,55012463,HOV29_gp28,HOV29_gp28,CPT_Minorna_028,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210403,-
2547246,55012464,HOV29_gp29,HOV29_gp29,CPT_Minorna_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012465,HOV29_gp30,HOV29_gp30,CPT_Minorna_030,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201222,-
2547246,55012466,HOV29_gp31,HOV29_gp31,CPT_Minorna_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012467,HOV29_gp32,HOV29_gp32,CPT_Minorna_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012468,HOV29_gp33,HOV29_gp33,CPT_Minorna_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012469,HOV29_gp34,HOV29_gp34,CPT_Minorna_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2547246,55012470,HOV29_gp35,HOV29_gp35,CPT_Minorna_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012471,HOV29_gp36,HOV29_gp36,CPT_Minorna_036,-,-,-,calcineurin-like phosphoesterase domain-containing/metallo-dependent phosphatase-like superfamily protein,protein-coding,-,-,-,calcineurin-like phosphoesterase domain-containing/metallo-dependent phosphatase-like superfamily protein,20210403,-
2547246,55012472,HOV29_gp37,HOV29_gp37,CPT_Minorna_037,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2547246,55012473,HOV29_gp38,HOV29_gp38,CPT_Minorna_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012474,HOV29_gp39,HOV29_gp39,CPT_Minorna_039,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210403,-
2547246,55012475,HOV29_gp40,HOV29_gp40,CPT_Minorna_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012476,HOV29_gp41,HOV29_gp41,CPT_Minorna_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012477,HOV29_gp42,HOV29_gp42,CPT_Minorna_042,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2547246,55012478,HOV29_gp43,HOV29_gp43,CPT_Minorna_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012479,HOV29_gp44,HOV29_gp44,CPT_Minorna_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012480,HOV29_gp45,HOV29_gp45,CPT_Minorna_045,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2547246,55012481,HOV29_gp46,HOV29_gp46,CPT_Minorna_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012482,HOV29_gp47,HOV29_gp47,CPT_Minorna_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012483,HOV29_gp48,HOV29_gp48,CPT_Minorna_048,-,-,-,peptidase M28-domain containing/Zn-dependent exopeptidase superfamily protein,protein-coding,-,-,-,peptidase M28-domain containing/Zn-dependent exopeptidase superfamily protein,20210403,-
2547246,55012484,HOV29_gp49,HOV29_gp49,CPT_Minorna_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012485,HOV29_gp50,HOV29_gp50,CPT_Minorna_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012486,HOV29_gp51,HOV29_gp51,CPT_Minorna_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012487,HOV29_gp52,HOV29_gp52,CPT_Minorna_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012488,HOV29_gp53,HOV29_gp53,CPT_Minorna_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012489,HOV29_gp54,HOV29_gp54,CPT_Minorna_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012490,HOV29_gp55,HOV29_gp55,CPT_Minorna_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012491,HOV29_gp56,HOV29_gp56,CPT_Minorna_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012492,HOV29_gp57,HOV29_gp57,CPT_Minorna_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2547246,55012493,HOV29_gp01,HOV29_gp01,CPT_Minorna_001,-,-,-,pectate lyase superfamily protein,protein-coding,-,-,-,pectate lyase superfamily protein,20210403,-
2547246,55154364,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
