#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599848,55623086,2,HWC69_gp002,PBI_RANCH_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2599848,55623087,3,HWC69_gp003,PBI_RANCH_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2599848,55623088,4,HWC69_gp004,PBI_RANCH_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623089,5,HWC69_gp005,PBI_RANCH_5,-,-,-,esterase,protein-coding,-,-,-,esterase,20210424,-
2599848,55623090,6,HWC69_gp006,PBI_RANCH_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623091,7,HWC69_gp007,PBI_RANCH_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623092,8,HWC69_gp008,PBI_RANCH_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623093,9,HWC69_gp009,PBI_RANCH_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623094,10,HWC69_gp010,PBI_RANCH_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623095,11,HWC69_gp011,PBI_RANCH_11,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210424,-
2599848,55623096,12,HWC69_gp012,PBI_RANCH_12,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200620,-
2599848,55623097,13,HWC69_gp013,PBI_RANCH_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623098,14,HWC69_gp014,PBI_RANCH_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623099,15,HWC69_gp015,PBI_RANCH_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2599848,55623100,16,HWC69_gp016,PBI_RANCH_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623101,17,HWC69_gp017,PBI_RANCH_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623102,19,HWC69_gp019,PBI_RANCH_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200620,-
2599848,55623103,20,HWC69_gp020,PBI_RANCH_20,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20200620,-
2599848,55623104,21,HWC69_gp021,PBI_RANCH_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2599848,55623105,22,HWC69_gp022,PBI_RANCH_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623106,23,HWC69_gp023,PBI_RANCH_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623107,25,HWC69_gp025,PBI_RANCH_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623108,26,HWC69_gp026,PBI_RANCH_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623109,27,HWC69_gp027,PBI_RANCH_27,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2599848,55623110,28,HWC69_gp028,PBI_RANCH_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599848,55623111,29,HWC69_gp029,PBI_RANCH_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599848,55623112,30,HWC69_gp030,PBI_RANCH_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2599848,55623113,31,HWC69_gp031,PBI_RANCH_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623114,32,HWC69_gp032,PBI_RANCH_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623115,33,HWC69_gp033,PBI_RANCH_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623116,34,HWC69_gp034,PBI_RANCH_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623117,35,HWC69_gp035,PBI_RANCH_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623118,36,HWC69_gp036,PBI_RANCH_36,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2599848,55623119,37,HWC69_gp037,PBI_RANCH_37,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599848,55623120,38,HWC69_gp038,PBI_RANCH_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599848,55623121,39,HWC69_gp039,PBI_RANCH_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623122,41,HWC69_gp041,PBI_RANCH_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623123,42,HWC69_gp042,PBI_RANCH_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623124,43,HWC69_gp043,PBI_RANCH_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623125,44,HWC69_gp044,PBI_RANCH_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623126,45,HWC69_gp045,PBI_RANCH_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623127,47,HWC69_gp047,PBI_RANCH_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599848,55623128,48,HWC69_gp048,PBI_RANCH_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623129,49,HWC69_gp049,PBI_RANCH_49,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2599848,55623130,50,HWC69_gp050,PBI_RANCH_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623131,51,HWC69_gp051,PBI_RANCH_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599848,55623132,52,HWC69_gp052,PBI_RANCH_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623133,53,HWC69_gp053,PBI_RANCH_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623134,54,HWC69_gp054,PBI_RANCH_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623135,55,HWC69_gp055,PBI_RANCH_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623136,56,HWC69_gp056,PBI_RANCH_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623137,57,HWC69_gp057,PBI_RANCH_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623138,58,HWC69_gp058,PBI_RANCH_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623139,59,HWC69_gp059,PBI_RANCH_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623140,61,HWC69_gp061,PBI_RANCH_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623141,62,HWC69_gp062,PBI_RANCH_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623142,63,HWC69_gp063,PBI_RANCH_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599848,55623143,65,HWC69_gp065,PBI_RANCH_65,-,-,-,DNA helicase/nuclease,protein-coding,-,-,-,DNA helicase/nuclease,20210424,-
