#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772293,40078297,2,FDH55_gp02,BENNIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772293,40078298,3,FDH55_gp03,BENNIE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1772293,40078299,4,FDH55_gp04,BENNIE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1772293,40078300,5,FDH55_gp05,BENNIE_5,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20201221,-
1772293,40078301,6,FDH55_gp06,BENNIE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078302,7,FDH55_gp07,BENNIE_7,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1772293,40078303,8,FDH55_gp08,BENNIE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078304,9,FDH55_gp09,BENNIE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078305,10,FDH55_gp10,BENNIE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078306,11,FDH55_gp11,BENNIE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772293,40078307,13,FDH55_gp12,BENNIE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772293,40078308,14,FDH55_gp14,BENNIE_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1772293,40078309,12,FDH55_gp13,BENNIE_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
