#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655017,25102579,OUROBOROS_2,OUROBOROS_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655017,25102580,OUROBOROS_3,OUROBOROS_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655017,25102581,OUROBOROS_4,OUROBOROS_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655017,25102582,OUROBOROS_5,OUROBOROS_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655017,25102583,OUROBOROS_6,OUROBOROS_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655017,25102584,OUROBOROS_7,OUROBOROS_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655017,25102585,OUROBOROS_8,OUROBOROS_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655017,25102586,OUROBOROS_9,OUROBOROS_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655017,25102587,OUROBOROS_10,OUROBOROS_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655017,25102588,OUROBOROS_11,OUROBOROS_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655017,25102589,OUROBOROS_13,OUROBOROS_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655017,25102590,OUROBOROS_14,OUROBOROS_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655017,25102591,OUROBOROS_12,OUROBOROS_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655017,25102592,OUROBOROS_15,OUROBOROS_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655017,25102593,OUROBOROS_16,OUROBOROS_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655017,25102594,OUROBOROS_17,OUROBOROS_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655017,25102595,OUROBOROS_18,OUROBOROS_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655017,25102596,OUROBOROS_19,OUROBOROS_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655017,25102597,OUROBOROS_20,OUROBOROS_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655017,25102598,OUROBOROS_21,OUROBOROS_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655017,25102599,OUROBOROS_22,OUROBOROS_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
