#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675317,26795520,AXI73_gp02,AXI73_gp02,-,-,-,-,HNH endonuclease family protein,protein-coding,-,-,-,HNH endonuclease family protein,20200629,-
1675317,26795521,AXI73_gp03,AXI73_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795522,AXI73_gp04,AXI73_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795523,AXI73_gp05,AXI73_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795524,AXI73_gp06,AXI73_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795525,AXI73_gp07,AXI73_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795526,AXI73_gp08,AXI73_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795527,AXI73_gp09,AXI73_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795528,AXI73_gp10,AXI73_gp10,-,-,-,-,DnaD,protein-coding,-,-,-,DnaD,20200629,-
1675317,26795529,AXI73_gp11,AXI73_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795530,AXI73_gp12,AXI73_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795531,AXI73_gp13,AXI73_gp13,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1675317,26795532,AXI73_gp14,AXI73_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795533,AXI73_gp15,AXI73_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795534,AXI73_gp16,AXI73_gp16,-,-,-,-,kilA protein,protein-coding,-,-,-,kilA protein,20200629,-
1675317,26795535,AXI73_gp17,AXI73_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795536,AXI73_gp18,AXI73_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795537,AXI73_gp19,AXI73_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675317,26795538,AXI73_gp20,AXI73_gp20,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
