#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015804,40085941,FDI25_gp02,FDI25_gp02,ABP2_002,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201221,-
2015804,40085942,FDI25_gp03,FDI25_gp03,ABP2_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085943,FDI25_gp04,FDI25_gp04,ABP2_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085944,FDI25_gp05,FDI25_gp05,ABP2_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085945,FDI25_gp06,FDI25_gp06,ABP2_006,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20201221,-
2015804,40085946,FDI25_gp07,FDI25_gp07,ABP2_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085947,FDI25_gp08,FDI25_gp08,ABP2_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085948,FDI25_gp09,FDI25_gp09,ABP2_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085949,FDI25_gp10,FDI25_gp10,ABP2_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085950,FDI25_gp11,FDI25_gp11,ABP2_011,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,20201221,-
2015804,40085951,FDI25_gp12,FDI25_gp12,ABP2_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085952,FDI25_gp13,FDI25_gp13,ABP2_013,-,-,-,secretion activator protein,protein-coding,-,-,-,secretion activator protein,20201221,-
2015804,40085953,FDI25_gp14,FDI25_gp14,ABP2_014,-,-,-,NUMOD4 motif protein,protein-coding,-,-,-,NUMOD4 motif protein,20201221,-
2015804,40085954,FDI25_gp15,FDI25_gp15,ABP2_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085955,FDI25_gp16,FDI25_gp16,ABP2_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085956,FDI25_gp17,FDI25_gp17,ABP2_017,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
2015804,40085957,FDI25_gp18,FDI25_gp18,ABP2_018,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
2015804,40085958,FDI25_gp19,FDI25_gp19,ABP2_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085959,FDI25_gp20,FDI25_gp20,ABP2_020,-,-,-,putative baseplate J-like protein,protein-coding,-,-,-,putative baseplate J-like protein,20201221,-
2015804,40085960,FDI25_gp21,FDI25_gp21,ABP2_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085961,FDI25_gp22,FDI25_gp22,ABP2_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085962,FDI25_gp23,FDI25_gp23,ABP2_023,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20201221,-
2015804,40085963,FDI25_gp24,FDI25_gp24,ABP2_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085964,FDI25_gp25,FDI25_gp25,ABP2_025,-,-,-,hydroperoxy fatty acid reductase,protein-coding,-,-,-,hydroperoxy fatty acid reductase,20201221,-
2015804,40085965,FDI25_gp26,FDI25_gp26,ABP2_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085966,FDI25_gp27,FDI25_gp27,ABP2_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085967,FDI25_gp28,FDI25_gp28,ABP2_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085968,FDI25_gp29,FDI25_gp29,ABP2_029,-,-,-,lysozyme-like domain protein,protein-coding,-,-,-,lysozyme-like domain protein,20201221,-
2015804,40085969,FDI25_gp30,FDI25_gp30,ABP2_030,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
2015804,40085970,FDI25_gp31,FDI25_gp31,ABP2_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085971,FDI25_gp32,FDI25_gp32,ABP2_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085972,FDI25_gp33,FDI25_gp33,ABP2_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085973,FDI25_gp34,FDI25_gp34,ABP2_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085974,FDI25_gp35,FDI25_gp35,ABP2_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085975,FDI25_gp36,FDI25_gp36,ABP2_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085976,FDI25_gp37,FDI25_gp37,ABP2_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2015804,40085977,FDI25_gp38,FDI25_gp38,ABP2_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
