#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2601610,63911438,KDJ11_gp02,KDJ11_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210420,-
2601610,63911439,KDJ11_gp03,KDJ11_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210420,-
2601610,63911440,KDJ11_gp04,KDJ11_gp04,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210420,-
2601610,63911441,KDJ11_gp05,KDJ11_gp05,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210420,-
2601610,63911442,KDJ11_gp06,KDJ11_gp06,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210420,-
2601610,63911443,KDJ11_gp07,KDJ11_gp07,-,-,-,-,head-tail connector,protein-coding,-,-,-,head-tail connector,20210420,-
2601610,63911444,KDJ11_gp08,KDJ11_gp08,-,-,-,-,head-tail connector,protein-coding,-,-,-,head-tail connector,20210420,-
2601610,63911445,KDJ11_gp09,KDJ11_gp09,-,-,-,-,head-tail connector,protein-coding,-,-,-,head-tail connector,20210420,-
2601610,63911446,KDJ11_gp10,KDJ11_gp10,-,-,-,-,head-tail connector,protein-coding,-,-,-,head-tail connector,20210420,-
2601610,63911447,KDJ11_gp11,KDJ11_gp11,-,-,-,-,head-tail connector,protein-coding,-,-,-,head-tail connector,20210420,-
2601610,63911448,KDJ11_gp12,KDJ11_gp12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210420,-
2601610,63911449,KDJ11_gp13,KDJ11_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2601610,63911450,KDJ11_gp14,KDJ11_gp14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2601610,63911451,KDJ11_gp15,KDJ11_gp15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2601610,63911452,KDJ11_gp16,KDJ11_gp16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210420,-
2601610,63911453,KDJ11_gp17,KDJ11_gp17,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20210420,-
2601610,63911454,KDJ11_gp18,KDJ11_gp18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20210420,-
2601610,63911455,KDJ11_gp19,KDJ11_gp19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
