#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1927024,64946619,2,KIY73_gp02,SEA_CAMPERDOWNII_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210516,-
1927024,64946620,3,KIY73_gp03,SEA_CAMPERDOWNII_3,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
1927024,64946621,4,KIY73_gp04,SEA_CAMPERDOWNII_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946622,5,KIY73_gp05,SEA_CAMPERDOWNII_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946623,6,KIY73_gp06,SEA_CAMPERDOWNII_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946624,7,KIY73_gp07,SEA_CAMPERDOWNII_7,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210516,-
1927024,64946625,8,KIY73_gp08,SEA_CAMPERDOWNII_8,-,-,-,holin,protein-coding,-,-,-,holin,20210522,-
1927024,64946626,9,KIY73_gp09,SEA_CAMPERDOWNII_9,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210516,-
1927024,64946627,10,KIY73_gp10,SEA_CAMPERDOWNII_10,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210516,-
1927024,64946628,11,KIY73_gp11,SEA_CAMPERDOWNII_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210516,-
1927024,64946629,12,KIY73_gp12,SEA_CAMPERDOWNII_12,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210516,-
1927024,64946630,13,KIY73_gp13,SEA_CAMPERDOWNII_13,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210516,-
1927024,64946631,14,KIY73_gp14,SEA_CAMPERDOWNII_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210516,-
1927024,64946632,15,KIY73_gp15,SEA_CAMPERDOWNII_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946633,16,KIY73_gp16,SEA_CAMPERDOWNII_16,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210516,-
1927024,64946634,17,KIY73_gp17,SEA_CAMPERDOWNII_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946635,18,KIY73_gp18,SEA_CAMPERDOWNII_18,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210516,-
1927024,64946636,19,KIY73_gp19,SEA_CAMPERDOWNII_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946637,20,KIY73_gp20,SEA_CAMPERDOWNII_20,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210516,-
1927024,64946638,21,KIY73_gp21,SEA_CAMPERDOWNII_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210516,-
1927024,64946639,23,KIY73_gp22,SEA_CAMPERDOWNII_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210516,-
1927024,64946640,22,KIY73_gp23,SEA_CAMPERDOWNII_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210522,-
1927024,64946641,24,KIY73_gp24,SEA_CAMPERDOWNII_24,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210516,-
1927024,64946642,25,KIY73_gp25,SEA_CAMPERDOWNII_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
1927024,64946643,26,KIY73_gp26,SEA_CAMPERDOWNII_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
1927024,64946644,27,KIY73_gp27,SEA_CAMPERDOWNII_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
1927024,64946645,28,KIY73_gp28,SEA_CAMPERDOWNII_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
1927024,64946646,29,KIY73_gp29,SEA_CAMPERDOWNII_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
1927024,64946647,30,KIY73_gp30,SEA_CAMPERDOWNII_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210516,-
1927024,64946648,31,KIY73_gp31,SEA_CAMPERDOWNII_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946649,32,KIY73_gp32,SEA_CAMPERDOWNII_32,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210516,-
1927024,64946650,33,KIY73_gp33,SEA_CAMPERDOWNII_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946651,34,KIY73_gp34,SEA_CAMPERDOWNII_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946652,35,KIY73_gp35,SEA_CAMPERDOWNII_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946653,36,KIY73_gp36,SEA_CAMPERDOWNII_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946654,37,KIY73_gp37,SEA_CAMPERDOWNII_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946655,38,KIY73_gp38,SEA_CAMPERDOWNII_38,-,-,-,helix-turn-helix DNA-binding protein,protein-coding,-,-,-,helix-turn-helix DNA-binding protein,20210516,-
1927024,64946656,39,KIY73_gp39,SEA_CAMPERDOWNII_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946657,40,KIY73_gp40,SEA_CAMPERDOWNII_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
1927024,64946658,41,KIY73_gp41,SEA_CAMPERDOWNII_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210516,-
