#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1958965,54979888,HOR67_gp02,HOR67_gp02,-,-,-,-,shufflon-specific DNA recombinase,protein-coding,-,-,-,shufflon-specific DNA recombinase,20210123,-
1958965,54979889,HOR67_gp03,HOR67_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979890,HOR67_gp04,HOR67_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958965,54979891,HOR67_gp05,HOR67_gp05,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210123,-
1958965,54979892,HOR67_gp06,HOR67_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979893,HOR67_gp07,HOR67_gp07,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20210123,-
1958965,54979894,HOR67_gp08,HOR67_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958965,54979895,HOR67_gp09,HOR67_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979896,HOR67_gp10,HOR67_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1958965,54979897,HOR67_gp11,HOR67_gp11,-,-,-,-,structural protein P5,protein-coding,-,-,-,structural protein P5,20210123,-
1958965,54979898,HOR67_gp12,HOR67_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979899,HOR67_gp13,HOR67_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1958965,54979900,HOR67_gp14,HOR67_gp14,-,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
1958965,54979901,HOR67_gp15,HOR67_gp15,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210123,-
