#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
51313,921970,HaSNPVgOrf128,HaSNPVgOrf128,-,-,-,-,bv-ec31,protein-coding,-,-,-,bv-ec31,20181103,-
51313,921971,HaSNPVgOrf39,HaSNPVgOrf39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,921972,HaSNPVgOrf126,HaSNPVgOrf126,-,-,-,-,egt,protein-coding,-,-,-,egt,20181103,-
51313,921973,HaSNPVgOrf42,HaSNPVgOrf42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,921974,HaSNPVgOrf34,HaSNPVgOrf34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921975,HaSNPVgOrf35,HaSNPVgOrf35,-,-,-,-,p47,protein-coding,-,-,-,p47,20180815,-
51313,921976,HaSNPVgOrf11,HaSNPVgOrf11,-,-,-,-,odv-ec27,protein-coding,-,-,-,odv-ec27,20180815,-
51313,921977,HaSNPVgOrf63,HaSNPVgOrf63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,921978,HaSNPVgOrf1,HaSNPVgOrf1,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180815,-
51313,921979,HaSNPVgOrf12,HaSNPVgOrf12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921980,HaSNPVgOrf13,HaSNPVgOrf13,-,-,-,-,ep23,protein-coding,-,-,-,ep23,20180815,-
51313,921981,HaSNPVgOrf14,HaSNPVgOrf14,-,-,-,-,ie-1,protein-coding,-,-,-,ie-1,20180815,-
51313,921982,HaSNPVgOrf15,HaSNPVgOrf15,-,-,-,-,odv-e56,protein-coding,-,-,-,odv-e56,20180815,-
51313,921983,HaSNPVgOrf49,HaSNPVgOrf49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
51313,921984,HaSNPVgOrf23,HaSNPVgOrf23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921985,HaSNPVgOrf71,HaSNPVgOrf71,-,-,-,-,vlf-1,protein-coding,-,-,-,vlf-1,20180815,-
51313,921986,HaSNPVgOrf70,HaSNPVgOrf70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190608,-
51313,921987,HaSNPVgOrf45.1,HaSNPVgOrf45.1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
51313,921988,HaSNPVgOrf69,HaSNPVgOrf69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
