#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2267403,55608449,HWB64_gp002,HWB64_gp002,-,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210417,-
2267403,55608450,HWB64_gp003,HWB64_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608451,HWB64_gp004,HWB64_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608452,HWB64_gp005,HWB64_gp005,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20210417,-
2267403,55608453,HWB64_gp006,HWB64_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608454,HWB64_gp007,HWB64_gp007,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210417,-
2267403,55608455,HWB64_gp008,HWB64_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608456,HWB64_gp009,HWB64_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608457,HWB64_gp010,HWB64_gp010,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210417,-
2267403,55608458,HWB64_gp011,HWB64_gp011,-,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20200620,-
2267403,55608459,HWB64_gp012,HWB64_gp012,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210417,-
2267403,55608460,HWB64_gp013,HWB64_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608461,HWB64_gp014,HWB64_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608462,HWB64_gp015,HWB64_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608463,HWB64_gp016,HWB64_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608464,HWB64_gp017,HWB64_gp017,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210417,-
2267403,55608465,HWB64_gp018,HWB64_gp018,-,-,-,-,tail associated lysozyme,protein-coding,-,-,-,tail associated lysozyme,20210417,-
2267403,55608466,HWB64_gp019,HWB64_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608467,HWB64_gp020,HWB64_gp020,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200620,-
2267403,55608468,HWB64_gp021,HWB64_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608469,HWB64_gp022,HWB64_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608470,HWB64_gp023,HWB64_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608471,HWB64_gp024,HWB64_gp024,-,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20200620,-
2267403,55608472,HWB64_gp025,HWB64_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608473,HWB64_gp026,HWB64_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608474,HWB64_gp027,HWB64_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608475,HWB64_gp028,HWB64_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608476,HWB64_gp029,HWB64_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608477,HWB64_gp030,HWB64_gp030,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210417,-
2267403,55608478,HWB64_gp031,HWB64_gp031,-,-,-,-,baseplate tail tube,protein-coding,-,-,-,baseplate tail tube,20200620,-
2267403,55608479,HWB64_gp032,HWB64_gp032,-,-,-,-,DNA end protector,protein-coding,-,-,-,DNA end protector,20210417,-
2267403,55608480,HWB64_gp033,HWB64_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608481,HWB64_gp034,HWB64_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608482,HWB64_gp035,HWB64_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608483,HWB64_gp036,HWB64_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608484,HWB64_gp037,HWB64_gp037,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2267403,55608485,HWB64_gp038,HWB64_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608486,HWB64_gp039,HWB64_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608487,HWB64_gp040,HWB64_gp040,-,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20210417,-
2267403,55608488,HWB64_gp041,HWB64_gp041,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210417,-
2267403,55608489,HWB64_gp042,HWB64_gp042,-,-,-,-,DNA endonuclease,protein-coding,-,-,-,DNA endonuclease,20210417,-
2267403,55608490,HWB64_gp043,HWB64_gp043,-,-,-,-,RecN,protein-coding,-,-,-,RecN,20210417,-
2267403,55608491,HWB64_gp044,HWB64_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608492,HWB64_gp045,HWB64_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608493,HWB64_gp046,HWB64_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608494,HWB64_gp047,HWB64_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608495,HWB64_gp048,HWB64_gp048,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210417,-
2267403,55608496,HWB64_gp049,HWB64_gp049,-,-,-,-,adenine alpha hydrolase,protein-coding,-,-,-,adenine alpha hydrolase,20200620,-
2267403,55608497,HWB64_gp050,HWB64_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608498,HWB64_gp051,HWB64_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608499,HWB64_gp052,HWB64_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608500,HWB64_gp053,HWB64_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608501,HWB64_gp054,HWB64_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608502,HWB64_gp055,HWB64_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608503,HWB64_gp056,HWB64_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608504,HWB64_gp057,HWB64_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608505,HWB64_gp058,HWB64_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608506,HWB64_gp059,HWB64_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608507,HWB64_gp060,HWB64_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608508,HWB64_gp061,HWB64_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608509,HWB64_gp062,HWB64_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608510,HWB64_gp063,HWB64_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608511,HWB64_gp064,HWB64_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2267403,55608512,HWB64_gp065,HWB64_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608513,HWB64_gp066,HWB64_gp066,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210417,-
2267403,55608514,HWB64_gp067,HWB64_gp067,-,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20210417,-
2267403,55608515,HWB64_gp068,HWB64_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2267403,55608516,HWB64_gp069,HWB64_gp069,-,-,-,-,tail length tape measure,protein-coding,-,-,-,tail length tape measure,20200620,-
2267403,55608517,HWB64_gp070,HWB64_gp070,-,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20200620,-
