#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163635,55608068,HWB59_gp92,HWB59_gp92,-,-,-,-,putative NTP pyrophosphohydrolase,protein-coding,-,-,-,putative NTP pyrophosphohydrolase,20210327,-
2163635,55608069,HWB59_gp02,HWB59_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608070,HWB59_gp03,HWB59_gp03,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20210424,-
2163635,55608071,HWB59_gp04,HWB59_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608072,HWB59_gp05,HWB59_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608073,HWB59_gp06,HWB59_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608074,HWB59_gt01,HWB59_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2163635,55608075,HWB59_gp91,HWB59_gp91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608076,HWB59_gp90,HWB59_gp90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608077,HWB59_gp89,HWB59_gp89,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200620,-
2163635,55608078,HWB59_gp88,HWB59_gp88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608079,HWB59_gp87,HWB59_gp87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608080,HWB59_gp86,HWB59_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2163635,55608081,HWB59_gp85,HWB59_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608082,HWB59_gp84,HWB59_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608083,HWB59_gp83,HWB59_gp83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608084,HWB59_gp82,HWB59_gp82,-,-,-,-,virion RNA polymerase,protein-coding,-,-,-,virion RNA polymerase,20210424,-
2163635,55608085,HWB59_gp81,HWB59_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608086,HWB59_gp80,HWB59_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608087,HWB59_gp79,HWB59_gp79,-,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20200620,-
2163635,55608088,HWB59_gp78,HWB59_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608089,HWB59_gp77,HWB59_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608090,HWB59_gp76,HWB59_gp76,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2163635,55608091,HWB59_gp75,HWB59_gp75,-,-,-,-,AAA domain protein,protein-coding,-,-,-,AAA domain protein,20210424,-
2163635,55608092,HWB59_gp74,HWB59_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608093,HWB59_gp73,HWB59_gp73,-,-,-,-,RyR domain-containing protein,protein-coding,-,-,-,RyR domain-containing protein,20210424,-
2163635,55608094,HWB59_gp72,HWB59_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608095,HWB59_gp71,HWB59_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608096,HWB59_gp70,HWB59_gp70,-,-,-,-,3'-phosphatase 5'-polynucleotide kinase,protein-coding,-,-,-,3'-phosphatase 5'-polynucleotide kinase,20200620,-
2163635,55608097,HWB59_gp69,HWB59_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608098,HWB59_gp68,HWB59_gp68,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
2163635,55608099,HWB59_gp67,HWB59_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608100,HWB59_gp66,HWB59_gp66,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
2163635,55608101,HWB59_gp65,HWB59_gp65,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210424,-
2163635,55608102,HWB59_gp64,HWB59_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608103,HWB59_gp63,HWB59_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2163635,55608104,HWB59_gp62,HWB59_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608105,HWB59_gp61,HWB59_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608106,HWB59_gp60,HWB59_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2163635,55608107,HWB59_gp59,HWB59_gp59,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2163635,55608108,HWB59_gp58,HWB59_gp58,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2163635,55608109,HWB59_gp57,HWB59_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
