#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250357,60327016,2,I5H23_gp02,SEA_CLIFTON_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2250357,60327017,3,I5H23_gp03,SEA_CLIFTON_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2250357,60327018,4,I5H23_gp04,SEA_CLIFTON_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2250357,60327019,5,I5H23_gp05,SEA_CLIFTON_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
2250357,60327020,6,I5H23_gp06,SEA_CLIFTON_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2250357,60327021,7,I5H23_gp07,SEA_CLIFTON_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2250357,60327022,8,I5H23_gp08,SEA_CLIFTON_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2250357,60327023,9,I5H23_gp09,SEA_CLIFTON_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2250357,60327024,10,I5H23_gp10,SEA_CLIFTON_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2250357,60327025,11,I5H23_gp11,SEA_CLIFTON_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2250357,60327026,13,I5H23_gp12,SEA_CLIFTON_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2250357,60327027,14,I5H23_gp14,SEA_CLIFTON_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2250357,60327028,12,I5H23_gp13,SEA_CLIFTON_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
