#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182360,54992168,2,HOT28_gp02,PBI_JACE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2182360,54992169,3,HOT28_gp03,PBI_JACE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2182360,54992170,4,HOT28_gp04,PBI_JACE_4,-,-,-,head assembly protein,protein-coding,-,-,-,head assembly protein,20210403,-
2182360,54992171,5,HOT28_gp05,PBI_JACE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992172,6,HOT28_gp06,PBI_JACE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2182360,54992173,7,HOT28_gp07,PBI_JACE_7,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200910,-
2182360,54992174,8,HOT28_gp08,PBI_JACE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992175,9,HOT28_gp09,PBI_JACE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2182360,54992176,10,HOT28_gp10,PBI_JACE_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210403,-
2182360,54992177,11,HOT28_gp11,PBI_JACE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992178,12,HOT28_gp12,PBI_JACE_12,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200910,-
2182360,54992179,14,HOT28_gp13,PBI_JACE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2182360,54992180,15,HOT28_gp15,PBI_JACE_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2182360,54992181,16,HOT28_gp16,PBI_JACE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2182360,54992182,17,HOT28_gp17,PBI_JACE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2182360,54992183,18,HOT28_gp18,PBI_JACE_18,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
2182360,54992184,19,HOT28_gp19,PBI_JACE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992185,20,HOT28_gp20,PBI_JACE_20,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2182360,54992186,21,HOT28_gp21,PBI_JACE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992187,22,HOT28_gp22,PBI_JACE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992188,23,HOT28_gp23,PBI_JACE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992189,24,HOT28_gp24,PBI_JACE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992190,25,HOT28_gp25,PBI_JACE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992191,26,HOT28_gp26,PBI_JACE_26,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2182360,54992192,27,HOT28_gp27,PBI_JACE_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2182360,54992193,28,HOT28_gp28,PBI_JACE_28,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210403,-
2182360,54992194,30,HOT28_gp30,PBI_JACE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992195,31,HOT28_gp31,PBI_JACE_31,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2182360,54992196,32,HOT28_gp32,PBI_JACE_32,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210403,-
2182360,54992197,33,HOT28_gp33,PBI_JACE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992198,34,HOT28_gp34,PBI_JACE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992199,35,HOT28_gp35,PBI_JACE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992200,36,HOT28_gp36,PBI_JACE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992201,37,HOT28_gp37,PBI_JACE_37,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200910,-
2182360,54992202,38,HOT28_gp38,PBI_JACE_38,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200910,-
2182360,54992203,39,HOT28_gp39,PBI_JACE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992204,40,HOT28_gp40,PBI_JACE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992205,41,HOT28_gp41,PBI_JACE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992206,42,HOT28_gp42,PBI_JACE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992207,43,HOT28_gp43,PBI_JACE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992208,44,HOT28_gp44,PBI_JACE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992209,45,HOT28_gp45,PBI_JACE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992210,46,HOT28_gp46,PBI_JACE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992211,47,HOT28_gp47,PBI_JACE_47,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2182360,54992212,48,HOT28_gp48,PBI_JACE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992213,49,HOT28_gp49,PBI_JACE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992214,50,HOT28_gp50,PBI_JACE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992215,51,HOT28_gp51,PBI_JACE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992216,52,HOT28_gp52,PBI_JACE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992217,53,HOT28_gp53,PBI_JACE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992218,54,HOT28_gp54,PBI_JACE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992219,55,HOT28_gp55,PBI_JACE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992220,56,HOT28_gp56,PBI_JACE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992221,57,HOT28_gp57,PBI_JACE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992222,58,HOT28_gp58,PBI_JACE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992223,59,HOT28_gp59,PBI_JACE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992224,60,HOT28_gp60,PBI_JACE_60,-,-,-,DNA polymerase beta subunit,protein-coding,-,-,-,DNA polymerase beta subunit,20210403,-
2182360,54992225,61,HOT28_gp61,PBI_JACE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992226,62,HOT28_gp62,PBI_JACE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992227,63,HOT28_gp63,PBI_JACE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992228,64,HOT28_gp64,PBI_JACE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992229,65,HOT28_gp65,PBI_JACE_65,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210403,-
2182360,54992230,66,HOT28_gp66,PBI_JACE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992231,67,HOT28_gp67,PBI_JACE_67,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2182360,54992232,68,HOT28_gp68,PBI_JACE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992233,69,HOT28_gp69,PBI_JACE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992234,70,HOT28_gp70,PBI_JACE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992235,71,HOT28_gp71,PBI_JACE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992236,72,HOT28_gp72,PBI_JACE_72,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210403,-
2182360,54992237,73,HOT28_gp73,PBI_JACE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992238,74,HOT28_gp74,PBI_JACE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992239,75,HOT28_gp75,PBI_JACE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992240,76,HOT28_gp76,PBI_JACE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2182360,54992241,77,HOT28_gp77,PBI_JACE_77,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
2182360,54992242,78,HOT28_gp78,PBI_JACE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992243,79,HOT28_gp79,PBI_JACE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992244,80,HOT28_gp80,PBI_JACE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992245,81,HOT28_gp81,PBI_JACE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992246,82,HOT28_gp82,PBI_JACE_82,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2182360,54992247,83,HOT28_gp83,PBI_JACE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2182360,54992248,84,HOT28_gp84,PBI_JACE_84,-,-,-,phosphodiesterase,protein-coding,-,-,-,phosphodiesterase,20200910,-
2182360,54992249,85,HOT28_gp85,PBI_JACE_85,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210403,-
2182360,54992250,86,HOT28_gp86,PBI_JACE_86,-,-,-,ATP binding protein,protein-coding,-,-,-,ATP binding protein,20210403,-
2182360,54992251,87,HOT28_gp87,PBI_JACE_87,-,-,-,aspartate decarboxylase,protein-coding,-,-,-,aspartate decarboxylase,20210403,-
2182360,54992252,88,HOT28_gp88,PBI_JACE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2182360,54992253,89,HOT28_gp89,PBI_JACE_89,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2182360,54992254,90,HOT28_gp90,PBI_JACE_90,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20200910,-
2182360,54992255,91,HOT28_gp91,PBI_JACE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2182360,54992256,92,HOT28_gp92,PBI_JACE_92,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2182360,54992257,93,HOT28_gp93,PBI_JACE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2182360,54992258,94,HOT28_gt01,PBI_JACE_94,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182360,54992259,95,HOT28_gt02,PBI_JACE_95,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182360,54992260,96,HOT28_gt03,PBI_JACE_96,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182360,54992261,97,HOT28_gt04,PBI_JACE_97,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182360,54992262,98,HOT28_gt05,PBI_JACE_98,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182360,54992263,99,HOT28_gt06,PBI_JACE_99,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2182360,54992264,1,HOT28_gp01,PBI_JACE_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200910,-
2182360,54992265,13,HOT28_gp14,PBI_JACE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2182360,54992266,29,HOT28_gp29,PBI_JACE_29,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2182360,55153967,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
