#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1970798,54980515,HOR76_gp02,HOR76_gp02,KOX1_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210123,-
1970798,54980516,HOR76_gp03,HOR76_gp03,KOX1_3,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210123,-
1970798,54980517,HOR76_gp04,HOR76_gp04,KOX1_4,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20210123,-
1970798,54980518,HOR76_gp05,HOR76_gp05,KOX1_5,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210123,-
1970798,54980519,HOR76_gp06,HOR76_gp06,KOX1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980520,HOR76_gp07,HOR76_gp07,KOX1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980521,HOR76_gp08,HOR76_gp08,KOX1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980522,HOR76_gp09,HOR76_gp09,KOX1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980523,HOR76_gp10,HOR76_gp10,KOX1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980524,HOR76_gp11,HOR76_gp11,KOX1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980525,HOR76_gp12,HOR76_gp12,KOX1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980526,HOR76_gp13,HOR76_gp13,KOX1_13,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210123,-
1970798,54980527,HOR76_gp14,HOR76_gp14,KOX1_15,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20210123,-
1970798,54980528,HOR76_gp16,HOR76_gp16,KOX1_16,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20210123,-
1970798,54980529,HOR76_gp15,HOR76_gp15,KOX1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980530,HOR76_gp17,HOR76_gp17,KOX1_17,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210327,-
1970798,54980531,HOR76_gp18,HOR76_gp18,KOX1_18,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210123,-
1970798,54980532,HOR76_gp19,HOR76_gp19,KOX1_19,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210327,-
1970798,54980533,HOR76_gp20,HOR76_gp20,KOX1_20,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210327,-
1970798,54980534,HOR76_gp21,HOR76_gp21,KOX1_21,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210123,-
1970798,54980535,HOR76_gp22,HOR76_gp22,KOX1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980536,HOR76_gp23,HOR76_gp23,KOX1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980537,HOR76_gp24,HOR76_gp24,KOX1_24,-,-,-,putative single-stranded DNA binding protein,protein-coding,-,-,-,putative single-stranded DNA binding protein,20201221,-
1970798,54980538,HOR76_gp25,HOR76_gp25,KOX1_25,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210327,-
1970798,54980539,HOR76_gp26,HOR76_gp26,KOX1_26,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210123,-
1970798,54980540,HOR76_gp27,HOR76_gp27,KOX1_27,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210123,-
1970798,54980541,HOR76_gp28,HOR76_gp28,KOX1_28,-,-,-,putative DNA regulator,protein-coding,-,-,-,putative DNA regulator,20201221,-
1970798,54980542,HOR76_gp29,HOR76_gp29,KOX1_29,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210123,-
1970798,54980543,HOR76_gp30,HOR76_gp30,KOX1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980544,HOR76_gp31,HOR76_gp31,KOX1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980545,HOR76_gp32,HOR76_gp32,KOX1_32,-,-,-,putative DNA adenine methyltransferase,protein-coding,-,-,-,putative DNA adenine methyltransferase,20210123,-
1970798,54980546,HOR76_gp33,HOR76_gp33,KOX1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980547,HOR76_gp34,HOR76_gp34,KOX1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980548,HOR76_gp35,HOR76_gp35,KOX1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980549,HOR76_gp36,HOR76_gp36,KOX1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980550,HOR76_gp37,HOR76_gp37,KOX1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980551,HOR76_gp38,HOR76_gp38,KOX1_38,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1970798,54980552,HOR76_gp39,HOR76_gp39,KOX1_39,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210123,-
1970798,54980553,HOR76_gp40,HOR76_gp40,KOX1_40,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20210123,-
1970798,54980554,HOR76_gp41,HOR76_gp41,KOX1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980555,HOR76_gp42,HOR76_gp42,KOX1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1970798,54980556,HOR76_gp43,HOR76_gp43,KOX1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980557,HOR76_gp44,HOR76_gp44,KOX1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980558,HOR76_gp45,HOR76_gp45,KOX1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980559,HOR76_gp46,HOR76_gp46,KOX1_46,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20201221,-
1970798,54980560,HOR76_gp47,HOR76_gp47,KOX1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980561,HOR76_gp48,HOR76_gp48,KOX1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980562,HOR76_gp49,HOR76_gp49,KOX1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980563,HOR76_gp50,HOR76_gp50,KOX1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980564,HOR76_gp51,HOR76_gp51,KOX1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980565,HOR76_gp52,HOR76_gp52,KOX1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980566,HOR76_gp53,HOR76_gp53,KOX1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980567,HOR76_gp54,HOR76_gp54,KOX1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980568,HOR76_gp55,HOR76_gp55,KOX1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1970798,54980569,HOR76_gp56,HOR76_gp56,KOX1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
