#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1429793,18505685,2,PBI_DONOVAN_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1429793,18505686,3,PBI_DONOVAN_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1429793,18505687,4,PBI_DONOVAN_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1429793,18505688,5,PBI_DONOVAN_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1429793,18505689,6,PBI_DONOVAN_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1429793,18505690,7,PBI_DONOVAN_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505691,8,PBI_DONOVAN_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1429793,18505692,9,PBI_DONOVAN_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1429793,18505693,10,PBI_DONOVAN_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505694,11,PBI_DONOVAN_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505695,12,PBI_DONOVAN_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505696,13,PBI_DONOVAN_13,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1429793,18505697,14,PBI_DONOVAN_14,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1429793,18505698,16,PBI_DONOVAN_16,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1429793,18505699,17,PBI_DONOVAN_17,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1429793,18505700,15,PBI_DONOVAN_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1429793,18505701,18,PBI_DONOVAN_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1429793,18505702,19,PBI_DONOVAN_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1429793,18505703,20,PBI_DONOVAN_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1429793,18505704,21,PBI_DONOVAN_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1429793,18505705,22,PBI_DONOVAN_22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1429793,18505706,23,PBI_DONOVAN_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505707,24,PBI_DONOVAN_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505708,25,PBI_DONOVAN_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505709,26,PBI_DONOVAN_26,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
1429793,18505710,27,PBI_DONOVAN_27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1429793,18505711,28,PBI_DONOVAN_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1429793,18505712,29,PBI_DONOVAN_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1429793,18505713,30,PBI_DONOVAN_30,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
